kpp,id,review
KPP Madya Dua Jakarta Selatan I,0,"Hendy Winardi
Local Guide·30 reviews·3 photos
4 years ago
New Place, More comfortable. Sometime its confusing for someone's first time came to the building, when you enter the building from the lobby on the left is Tebet Tax Office's One Gate Integrated Service and on your right is the KPP Pratama Setiabudi Empat's One Gate Integrated Service
Like"
KPP Madya Dua Jakarta Selatan I,1,"Galang Pandu Satria
Local Guide·387 reviews·1,162 photos
2 months ago
nice
Like
Response from the ownera month ago
Terima kasih Atas Dukungan dan Review anda. Kami berkomitmen untuk terus meningkatkan layanan yang berintegritas.
Semoga anda sehat dan sukses selalu. Salam Integritas."
KPP Madya Dua Jakarta Selatan I,2,"Ahmad Maulana
Local Guide·37 reviews·44 photos
a month ago
FAST respon
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,3,"Heri Nugroho
1 review
2 months ago
good
Like
Response from the ownera month ago
Terima kasih Atas Dukungan dan Review anda. Kami berkomitmen untuk terus meningkatkan layanan yang berintegritas.
Semoga anda sehat dan sukses selalu. Salam Integritas."
KPP Madya Dua Jakarta Selatan I,4,"Muhammad Anum Abdillah
1 review
3 months ago
nice service
Like
Response from the ownera month ago
Terima kasih Atas Dukungan dan Review anda. Kami berkomitmen untuk terus meningkatkan layanan yang berintegritas.
Semoga anda sehat dan sukses selalu. Salam Integritas."
KPP Madya Dua Jakarta Selatan I,5,"Yohanes ricky christianto
Local Guide·248 reviews·10 photos
5 years ago
Awesome
Like"
KPP Madya Dua Jakarta Selatan I,6,"ninditakintan
2 reviews·1 photo
2 months ago



(Translated by Google) The service is good, the staff is friendly and informative. Very good service at KPP Madya Dua, South Jakarta I. …More
Like
Response from the ownera month ago
Terima kasih Atas Dukungan dan Review anda. Kami berkomitmen untuk terus meningkatkan layanan yang berintegritas. Kami juga menyediakan layanan online di https://linktr.ee/KPPMadyaDuaJaksel1
Semoga anda sehat dan sukses selalu."
KPP Madya Dua Jakarta Selatan I,7,"Abud Adyrono
Local Guide·23 reviews·125 photos
a year ago



(Translated by Google) The clerk was friendly and the service was very good

(Original) …More
1
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,8,"Utami Ambarwati
3 reviews
2 months ago



(Translated by Google) KPP Madya Dua South Jakarta I service is very good and communicative. Submission of information to WP is very clear and easy to understand. Please maintain and improve again for the service. Thank you …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,9,"Rudy Ekklesia
2 reviews
2 months ago



(Translated by Google) The staff is kind and friendly in providing explanations. Especially Mrs. Naila at counter 3 …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,11,"Lyven Syren
4 reviews·4 photos
2 months ago



(Translated by Google) The service is fast and the response is good.. the kpp people are friendly.. …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,12,"Ica Anisa
1 review
2 months ago



(Translated by Google) Very helpful with officers who can be contacted via whatsapp …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
KPP Madya Dua Jakarta Selatan I,13,"Al ghazali
5 reviews
9 months ago



(Translated by Google) It's been 2 months registering online to get a ticket for NPWP registration, I can't get it because the quota is full this is not a breakthrough or innovation but it's common sense to be lazy before getting to know …More
3
Response from the ownera month ago
Mohon maaf atas ketidaknyamanan anda. Bila anda terdaftar di KPP Madya Dua jakarta Selatan I, untuk solusi lebih lanjut mohon dapat langsung menghubungi kami melalui layanan online yang tersedia di url berikut: …More"
KPP Madya Dua Jakarta Selatan I,14,"Mesin Antrian Jakarta - Vorsea
Local Guide·76 reviews·257 photos
3 years ago



(Translated by Google) With the presence of a queuing machine at KPP Pratama Setiabudi Empat, the queue is smooth and orderly …More
1"
KPP Madya Dua Jakarta Selatan I,15,"Andika Cindy Margareth Siringoringo
1 review·2 photos
4 years ago



(Translated by Google) Jakarta Setiabudi Tax Office Four per 5 October 2017 moved to Jalan Tebet Raya Number 9, Tebet (1 building with Jakarta Tebet Tax Office) …More
4"
KPP Madya Dua Jakarta Selatan I,16,"Dede Suhanda
8 reviews
8 months ago



(Translated by Google) it's hard to call, it makes wp confused for middle class, even though it's not kpp pratama. it's useless to include a useless phone number …More
Like
Response from the ownera month ago
(Translated by Google) Sorry for your inconvenience. For further solutions, please contact us directly through the online service available at the following url: https://linktr.ee/KPPMadyaDuaJaksel1 …More"
KPP Madya Dua Jakarta Selatan I,17,"Dwi Setiawan
Local Guide·4 reviews·7 photos
a week ago
NEW



(Translated by Google) Alhamdulillah, professional worker, with integrity

(Original) …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for your support and review. We are committed to continuously improve services with integrity.
I wish you good health and success always. Greetings Integrity. …More"
