kpp,id,review
KPP Madya Jakarta Utara,0,"Nadzari Nuryawan
11 reviews·3 photos
7 months ago
Nice office
1"
KPP Madya Jakarta Utara,1,"diah saraswati
1 review·2 photos
7 months ago



(Translated by Google) The place is nice, clean, comfortable. The service is also incredibly fast, friendly, and courteous. This KPP also provides self-service that makes it easier for wp✨ …More
1"
KPP Madya Jakarta Utara,2,"Tasya Mega
2 reviews·2 photos
a month ago



(Translated by Google) very good service, the receptionist and security guard are very helpful …More
Like"
KPP Madya Jakarta Utara,3,"Shely Kartifa Malinda
1 review·2 photos
9 months ago



(Translated by Google) The service is good. The place is also comfortable. All Jakarta madyas are in this building.👏🏻 …More
2"
KPP Madya Jakarta Utara,4,"Arindra Arindra
Local Guide·34 reviews·66 photos
6 months ago



(Translated by Google) Fast, friendly, & free service, but limited parking

(Original) …More
Like"
KPP Madya Jakarta Utara,5,"nasi zen
1 review
7 months ago



(Translated by Google) Satisfactory service, 5 stars for the middle of North Jakarta. Especially the extension team. For Mr. Doni and Mr. Kelik........ …More
1"
KPP Madya Jakarta Utara,6,"Batutulis Babakan
1 review
7 months ago



(Translated by Google) The staff is friendly and handsome, can you find a mate or not .. thank you for being well served …More
1"
KPP Madya Jakarta Utara,7,"Arsa Iqbal
2 reviews
7 months ago



(Translated by Google) Madya north jakarta is cool. For those who want to consult, it's on the 9th floor. Thank you, Mr. Kelik Kerennnnn …More
2"
KPP Madya Jakarta Utara,8,"dwi kresna
1 review
9 months ago



(Translated by Google) The service is great! sir/madam the staff are friendly... the best... …More
1"
KPP Madya Jakarta Utara,9,"27-Patar Elmaus Parulian
1 review
7 months ago



(Translated by Google) The phone is always picked up, fast service, very happy with the friendliness of the service 😊 …More
1"
KPP Madya Jakarta Utara,11,"tegallega Kertamaya
1 review
7 months ago



(Translated by Google) It's very helpful, especially if it's helped by Mr. Kelik from counseling... thank you …More
1"
KPP Madya Jakarta Utara,12,"Bulandari Tiendy Hayuningtyas
1 review
7 months ago



(Translated by Google) The service is good... the staff is friendly and agile... 👍👍 …More
1"
KPP Madya Jakarta Utara,13,"Irene Dyah Puspitasari
2 reviews
7 months ago



(Translated by Google) The staff is friendly and responsive, the explanation is very helpful 👍🏻 …More
1"
KPP Madya Jakarta Utara,14,"Zainal Ariefin
Local Guide·6 reviews
a year ago



(Translated by Google) Try calling to this office from 8 to half 10 in the morning over and over again, no one answers at all, what's the point in displaying the office phone number. …More
1
Response from the owner9 months ago
(Translated by Google) Sorry for the inconvenience, sir/madam, the office phone is under maintenance at that time. …More"
KPP Madya Jakarta Utara,15,"pratiwi fanita
1 review
7 months ago



(Translated by Google) Free service and served during business hours.. continue

(Original) …More
1"
KPP Madya Jakarta Utara,16,"KPP Madya Jakut
1 review
6 months ago



(Translated by Google) Near Monas, near Gambir Station, near Istiqlal Mosque, close to your heart.. …More
Like"
KPP Madya Jakarta Utara,17,"Kis Yandi
1 review
a year ago



(Translated by Google) Calls from 8 a.m. to 12:30 p.m. are not picked up."" Is there an employee? …More
1
Response from the owner9 months ago
(Translated by Google) Sorry for the inconvenience, Sir/Madam, the office phone was under maintenance at that time. …More"
KPP Madya Jakarta Utara,18,"Annisa Dwi Rachma
1 review
9 months ago



(Translated by Google) Service is quite good. The room is big and cold.

(Original) …More
1"
KPP Madya Jakarta Utara,19,"Hasudungan Yohanes
1 review·9 photos
7 months ago



(Translated by Google) very good service!👍👍🙏

(Original) …More
1"
KPP Madya Jakarta Utara,20,"Tokyo metro 5000
6 reviews
7 months ago



(Translated by Google) KPP with the best, friendly, and professional service.

(Original) …More
1"
KPP Madya Jakarta Utara,22,"eben simanjuntak
1 review
7 months ago



(Translated by Google) Tax Service Office with the best service 👍👍

(Original) …More
1"
KPP Madya Jakarta Utara,23,"Royen Edward
1 review
7 months ago



(Translated by Google) Tax consultation place and friendly staff

(Original) …More
1"
KPP Madya Jakarta Utara,24,"Ibnu Wibowo
Local Guide·15 reviews·1 photo
4 years ago



(Translated by Google) Friendly tax service. North Jakarta Middle East KPP TPT is on the Lt. 2. While the back office is on lt. 8 and 9 …More
2"
