kpp,id,review
KPP Pratama Jakarta Cakung,0,"Sinyo Widakdo
12 reviews·42 photos
2 weeks ago
NEW
Is the best
Like"
KPP Pratama Jakarta Cakung,1,"il pinthuriccio
1 review
2 years ago
nice place
Like"
KPP Pratama Jakarta Cakung,2,"Syahida Nurul H
Local Guide·80 reviews·527 photos
3 months ago



(Translated by Google) I'm here because I want to take care of the PKP inauguration. I've been taking care of it since the end of last year because it's still covid and there is PPKM so you can't come to the tax office freely, you have to …More
1"
KPP Pratama Jakarta Cakung,3,"alfavi Channel
Local Guide·31 reviews·136 photos
2 months ago









(Translated by Google) The story is that I took a physical TIN card when I tried to ask the security post, I was asked to WA the admin number on the Pos wall and then sent a selfie holding an ID card and a screenshot of the notification …More
14"
KPP Pratama Jakarta Cakung,4,"Rakrian Sindhu
Local Guide·69 reviews·9 photos
3 years ago



(Translated by Google) Friendly service, spacious parking facilities complete facilities …More
2"
KPP Pratama Jakarta Cakung,5,"Intan Naftali
Local Guide·6 reviews·7 photos
3 months ago









(Translated by Google) Suggestions for those who want to come here
""DO NOT ASK SECURITY""
Just come to the entrance of the lobby …More
Like"
KPP Pratama Jakarta Cakung,6,"Lambok Panjaitan
1 review
2 months ago





(Translated by Google) I have registered my TIN online, it says it wants to be sent according to the domicile address, but it's been almost a month and it hasn't arrived yet? …More
Like"
KPP Pratama Jakarta Cakung,7,"Yopi Sianipar
Local Guide·30 reviews·10 photos
8 months ago













(Translated by Google) When I first arrived, I was happy to be served directly by the security guard and directed so that NPWP management could be done via WhatsApp …More
6"
KPP Pratama Jakarta Cakung,8,"baton safari kukuh
Local Guide·977 reviews·3,440 photos
2 years ago



(Translated by Google) Somewhat slow, lack of personnel. Parking and spacious building. Good service …More
Like"
KPP Pratama Jakarta Cakung,9,"Zulkifli Taher
2,287 reviews·3,231 photos
4 years ago



(Translated by Google) Located in the Pulogadung industrial area, parking is extensive and the service is satisfying. It turned out that the requirements to register for NPWP online are very different from coming directly. …More
Like"
KPP Pratama Jakarta Cakung,11,"Muhamad Jalil
Local Guide·74 reviews·144 photos
4 years ago



(Translated by Google) For the service, it's ok, just a little bit uncomfortable with the mbaa2 who guarded at the beginning asking for an NPPP form / queue number, the mbaa2 is jutek, so we know what we are really ... but for the others, …More
6"
KPP Pratama Jakarta Cakung,12,"Ridwan Permana a
1 review
9 months ago





(Translated by Google) The NPWP has been promised to be sent to the domicile address but until now it has been over a month and it has not been sent.
Can't be contacted on the phone, do you want to protect me? …More
3"
KPP Pratama Jakarta Cakung,13,"Muhammad Fachri
7 reviews
a year ago



(Translated by Google) Thank you, the waiter is good, came here to make an npwp right away, oh yeah, make an npwp here, the ID must match the domicile, if it doesn't match the domicile, you can't, then you'll be told to go online first with …More
7"
KPP Pratama Jakarta Cakung,14,"syahri
Local Guide·41 reviews·8 photos
7 months ago



(Translated by Google) The building is quite large, but the location is in an industrial area so there is no public transportation to this location …More
Like"
KPP Pratama Jakarta Cakung,15,"Diana Istiana
4 reviews·16 photos
a year ago



(Translated by Google) Taking the queue number must be online ...

(Original) …More
1"
KPP Pratama Jakarta Cakung,16,"David tan
1 review
5 months ago



(Translated by Google) crazy on the phone no one picks up, calls during working hours but no one picks up …More
2"
KPP Pratama Jakarta Cakung,17,"nur rassyid al pujianto
Local Guide·210 reviews·311 photos
a year ago





(Translated by Google) There needs to be education on human resource improvement as a whole so that the 3 S is created well
Public servants must prioritize manners of mutual respect …More
3"
KPP Pratama Jakarta Cakung,18,"iwan santosops
7 reviews·6 photos
10 months ago



(Translated by Google) The phone number can't be contacted, is there another number that can be contacted, regarding the management of changing the domicile of the address on the npwp …More
3"
KPP Pratama Jakarta Cakung,19,"Annjun Junaedi
9 reviews·1 photo
3 years ago









(Translated by Google) It is very bad, what else do I ask the ech security officer, who answered, you use skinny glasses, old, help me, the community who needs the service, the terms of the policy ""must be right with the other party ... …More
8"
KPP Pratama Jakarta Cakung,20,"Suci FNB
3 reviews·16 photos
a year ago



(Translated by Google) STP was not sent, suddenly I got a warning letter asking to pay this. This has happened 3x. AR or Service also doesn't provide the best solution, just throwing responsibility to each other. …More
3"
KPP Pratama Jakarta Cakung,22,"Duda Swasta
4 reviews
a year ago



(Translated by Google) How are people asking about the problem, how do I report it like the CS is not friendly, people ask, instead turning off the phone is not really polite, so it makes lazy people want to report SPT …More
2"
KPP Pratama Jakarta Cakung,23,"Echa Elfinsa
Local Guide·18 reviews·15 photos
4 years ago













(Translated by Google) My husband moved his domicile wanted to move the NPWP as well, the service was so bad I came here 5x just to take care of making my NPWP (following my husband) …More
7"
KPP Pratama Jakarta Cakung,24,"Dewi Novita Sari
9 reviews
2 years ago



(Translated by Google) I want to ask, can I make it via online, then continue to be acc, said he would like to be sent to the address that I have listed, is it charged or not? If you take the procedure directly, how do you do it? Please …More
3"
KPP Pratama Jakarta Cakung,25,"Ali Budiman
1 review
4 years ago



(Translated by Google) Congratulations mlm ladies and gentlemen in place .. indeed those who can make NPWP are those who are just business, or those who work permanently, so who wants to make NPWP to open a savings account whatsoever..while …More
4"
KPP Pratama Jakarta Cakung,26,"PT INDO PRAKARSA HUTAMA
1 review
2 years ago



(Translated by Google) The service is disappointing. I called and talked well, but responded unfriendly. I have not finished speaking, my phone was immediately turned off without any closing remarks. (I forgot to ask for the name, basically …More
7"
KPP Pratama Jakarta Cakung,27,"Alwi Alwain
Local Guide·72 reviews·83 photos
5 years ago













(Translated by Google) Fast process.
At that time I made a lost NPTP card.
No half an hour, NPWP is ready. …More
Like"
KPP Pratama Jakarta Cakung,28,"Djaini Kurniawan
Local Guide·10 reviews·9 photos
5 years ago



(Translated by Google) The office is located in the Pulogadung Industrial Estate, precisely at the only roundabout in the Pulogadung Industrial Area, in front of the Baitul Hamd JIEP Mosque, spacious Car and Motorcycle Parking, there is a …More
1"
KPP Pratama Jakarta Cakung,29,"Diamond Windy
Local Guide·20 reviews·6 photos
a year ago



(Translated by Google) Coincidentally, I just passed by, because the place is quite large. Haven't gotten into the gdg yet …More
Like"
KPP Pratama Jakarta Cakung,30,"Mas Taufik
1 review
a year ago



(Translated by Google) The top tax office from other offices I met before, the service is very good and friendly, thank you KPJ PRATAMA 🙏🏼🙏🏼 …More
1"
KPP Pratama Jakarta Cakung,31,"hari santoso
1 review·1 photo
9 months ago



(Translated by Google) Dit tel doesn't work, no response on whatsapp, it's really hard to contact the tax office …More
1"
KPP Pratama Jakarta Cakung,33,"Dona Mardawita
3 reviews
4 years ago





(Translated by Google) I live in Jakarta but I am not a DKI Jakarta ID card, I want to make NPWP at this tax office, but I have not rejected anything, even though I have brought the conditions, there is also a statement of residency # very …More
3"
KPP Pratama Jakarta Cakung,34,"Adinda Hana Muthia
Local Guide·202 reviews·91 photos
3 years ago



(Translated by Google) It's near the roundabout, opposite the mosque. Large parking area. …More
1"
KPP Pratama Jakarta Cakung,35,"Jefri Setiawan
1 review
3 years ago



(Translated by Google) Very bad. I have to go back and forth to take care of it. with the reason that the data collection is out. …More
1"
KPP Pratama Jakarta Cakung,36,"Melly Wahida
1 review
5 years ago



(Translated by Google) The service is disappointing. I called and talked well, but responded unfriendly. I haven't finished talking, my phone just turned off just like that without closing remarks. (I forgot to ask the name, just a woman). …More
9"
KPP Pratama Jakarta Cakung,37,"Ramelan L
2 reviews·3 photos
5 years ago











(Translated by Google) In other regions pajan offices want to serve local ID cards
What is important is that there is a KTP and domicile …More
3"
KPP Pratama Jakarta Cakung,38,"Winda Wn
1 review
4 years ago



(Translated by Google) Want to make NPWP for applying for a job rejected, even though my brother can make NPWP no certificate from his company can. But why I want to make it even rejected …More
7"
KPP Pratama Jakarta Cakung,39,"Debtia Rinjani
1 review·4 photos
4 years ago



(Translated by Google) I want to make NPWP but can't because I haven't worked, so I was finally rejected by the wrong company. How about this? …More
1"
KPP Pratama Jakarta Cakung,40,"Arif Febrianto
Local Guide·672 reviews·1,779 photos
a year ago



(Translated by Google) Not bad .. the front is also the Baitul Hamd mosque so if the Friday is not far ... …More
Like"
KPP Pratama Jakarta Cakung,41,"Edwin Hermanus
3 reviews
a year ago



(Translated by Google) The service just started at 9 o'clock it's only 1 operator table …More
Like"
KPP Pratama Jakarta Cakung,42,"Dewi Novita Sari
2 reviews
4 years ago



(Translated by Google) I want to ask if those who are not working may not make NPWP because the conditions for applying for work 😟 reject the GRGR gap, just do it😑 …More
3"
KPP Pratama Jakarta Cakung,44,"Reza Ramadhan
Local Guide·11 reviews
3 years ago



(Translated by Google) Had to take a friend to make an NPWP, even though he had experienced the problem of labeling the card but the service was okay, informative. …More
Like"
KPP Pratama Jakarta Cakung,45,"Donny Erdiansyah
2 reviews
5 years ago



(Translated by Google) At 8:15 am the phone was gone. It's hard. What time is it on ???? The officer was late …More
Like"
KPP Pratama Jakarta Cakung,46,"Fied Anggoro
5 reviews·5 photos
2 years ago



(Translated by Google) Somewhat improved ny friendliness, apply 3s (greetings, greetings, smiles) do not be lousy ... Thank you …More
7"
KPP Pratama Jakarta Cakung,47,"Adien Negara
1 review
a year ago



(Translated by Google) The service is good ... friendly, the pok is perfect ...

(Original) …More
Like"
KPP Pratama Jakarta Cakung,48,"yudho saida
Local Guide·104 reviews·96 photos
3 years ago



(Translated by Google) The process is long and often offline, the network is very bad, the service is often back and forth …More
2"
KPP Pratama Jakarta Cakung,49,"Charli Ningsih
3 reviews
2 years ago



(Translated by Google) Friendly, friendly staff, I made the NPPP process easy and fast …More
Like"
KPP Pratama Jakarta Cakung,50,"Lukman Hakim
Local Guide·162 reviews·128 photos
5 years ago



(Translated by Google) This is recommended for those who want to pay taxes for the area of Cakung and Pulogadung. Friendly, friendly staff petugas …More
1"
