kpp,id,review
KPP Pratama Jakarta Cempaka Putih,0,"Dela
284 reviews·2,055 photos
2 years ago
Not helpful help desk (I dont think they should hire someone in their help desk who knows nothing, not polite, rude and lazy). Not helpful security. Although the office was clean and the respective officer was smart and agile.
2"
KPP Pratama Jakarta Cempaka Putih,1,"karina ayuka
Local Guide·44 reviews·58 photos
3 years ago
The place is clean, the facilities is okay, the service is pretty good just need some evaluations. Also, need more space for parking area. Overall it's good.
Like"
KPP Pratama Jakarta Cempaka Putih,2,"jo agung
Local Guide·24 reviews·21 photos
4 years ago
Gov tax office as usual always crowded
1"
KPP Pratama Jakarta Cempaka Putih,3,"Febrianto Ramadhan
Local Guide·93 reviews·288 photos
3 years ago
Feels like home
Like"
KPP Pratama Jakarta Cempaka Putih,4,"kunci nikmat
4 reviews·3 photos
7 years ago
good
Like"
KPP Pratama Jakarta Cempaka Putih,5,"Effendie Chotob
3 reviews·5 photos
3 months ago



(Translated by Google) Friendly, good and fast service. We are carefully assisted. Hopefully it will be a field of worship …More
1"
KPP Pratama Jakarta Cempaka Putih,6,"Fransnixco Soekarno
Local Guide·53 reviews·92 photos
3 months ago



(Translated by Google) Strange, the Cempaka Putih area but the location of the tax office is in kwini, it doesn't make sense! …More
Like"
KPP Pratama Jakarta Cempaka Putih,7,"Muhamad Irfansyah
1 review·1 photo
8 months ago



(Translated by Google) The wife's NPWP just prints and makes it difficult, even though the proof of the print npwp already exists, KK, original ID card... The service is not satisfactory, only TTD... Please evaluate and direct the staff at …More
Like"
KPP Pratama Jakarta Cempaka Putih,8,"P_ Stars7
2 reviews
4 months ago



(Translated by Google) the service is very unfriendly to take care of letters that are not active again …More
Like"
KPP Pratama Jakarta Cempaka Putih,9,"Surya Azhari
Local Guide·528 reviews·1,156 photos
6 months ago



(Translated by Google) nice place and fast service

(Original) …More
1"
KPP Pratama Jakarta Cempaka Putih,11,"Abdullah Safei
3 reviews·4 photos
a year ago



(Translated by Google) When I arrived, I registered online, when I got to the ticket machine the queue to the cashier died and was told to immediately wait in the front seat of the cashier, it was a long wait because there were 4 people who …More
1"
KPP Pratama Jakarta Cempaka Putih,12,"Muhammad R. Maulana
1 review
3 years ago



(Translated by Google) bad service, my NPWP took too long, so I tweeted for days, just taking care of my npwp until now it didn't work, it was just played with the staff there. please try to monitor the manager in any way. Don't be there, …More
6"
KPP Pratama Jakarta Cempaka Putih,13,"Muhammad Rizal
Local Guide·84 reviews·21 photos
2 years ago



(Translated by Google) Old service .. Just copy one sheet, you have to look outside the building ... the staff see people if the tie is sweet, not maenn .. if ordinary people take a long time …More
9"
KPP Pratama Jakarta Cempaka Putih,14,"Iwan iwan
Local Guide·9 reviews·26 photos
3 years ago



(Translated by Google) BURUUUUK, the service is really not like other KPP.. if you want to get the results of the pph validation, you have to wait for hours if you don't want to work so you can change it to someone else. There are still …More
2"
KPP Pratama Jakarta Cempaka Putih,15,"Adiirawan Wawan
1 review
a year ago



(Translated by Google) I have long registered for NPWP online so far I haven't got the NPWP card🤦‍♂️🤦‍♂️🤦‍♂️ …More
6"
