kpp,id,review
KPP Pratama Jakarta Cilandak,0,"Zulai Fatul Baroroh
Local Guide·285 reviews·470 photos
a year ago
the service is pretty good with the comfortable place, good managerial, and quick process.
Like"
KPP Pratama Jakarta Cilandak,1,"Gabrilla Aiko
Local Guide·11 reviews·15 photos
a year ago
Clean, good procedure
Like"
KPP Pratama Jakarta Cilandak,2,"prince Hiu
4 reviews
5 years ago
Good place good people
Like"
KPP Pratama Jakarta Cilandak,3,"Pribadi Lejar
31 reviews
2 years ago
Good service
Like"
KPP Pratama Jakarta Cilandak,4,"Jeje bukan
8 reviews·4 photos
a month ago



(Translated by Google) Great, very good and fast service, don't forget to come here to queue online first through a tax visit. …More
Like"
KPP Pratama Jakarta Cilandak,5,"chita sahlana
2 reviews
a month ago



(Translated by Google) This cilandak kpp is a kpp that doesn't flex its WP. While other KPPs have been able to receive wp offline but this kpp still has to join the online tax queue, today June 8, 22 I came to this kpp wanting to apply for …More
3"
KPP Pratama Jakarta Cilandak,6,"YUSUP NURYADIN
41 reviews·18 photos
3 months ago









(Translated by Google) Management for certificates can be online.
We have to send documents by email.
After successful, we also have to send a photo copy of the document via courier. …More
Like"
KPP Pratama Jakarta Cilandak,7,"zulfan rasyid
Local Guide·12 reviews·59 photos
a week ago
NEW



(Translated by Google) Already arrived at the location, I was told to queue online and had to come the next day. Even though at that time it was still 13.30 and the office status was deserted, there were no visitors. …More
Like"
KPP Pratama Jakarta Cilandak,8,"Morning Runner
Local Guide·442 reviews·4,463 photos
2 months ago





(Translated by Google) Very unhelpful bad service, still have to be online even though I only want to ask for help regarding the 11% tax application update
Jatinegara KPP service is much better than this place …More
Like"
KPP Pratama Jakarta Cilandak,9,"Rizki Utomo
Local Guide·279 reviews·18,159 photos
3 years ago















(Translated by Google) Taxes are improving

Even though it is online today, service still takes precedence …More
1"
KPP Pratama Jakarta Cilandak,11,"Syifa Ahmad Fajri HP
Local Guide·35 reviews·27 photos
3 months ago



(Translated by Google) The service is very good, friendly to taxpayers and can be served well with tax problems …More
1"
KPP Pratama Jakarta Cilandak,12,"Julie Khriss
Local Guide·201 reviews·1,474 photos
a year ago



(Translated by Google) The receptionists are friendly, ProKes is good, only the active service is only 2 counters. In fact, there are many counters but they are all empty. Meanwhile, the receptionist who only works to welcome guests and …More
5"
KPP Pratama Jakarta Cilandak,13,"Renja Falupi
1 review
4 months ago



(Translated by Google) The website has errors, the office service is not served properly. Don't want to report taxes. Cape deh …More
2"
KPP Pratama Jakarta Cilandak,14,"nuri rahmawati
1 review·2 photos
2 months ago



(Translated by Google) The place is comfortable, the service is fast, the staff is helpful and friendly. Thank you KPP Pratama Jakarta Cilandak …More
Like"
KPP Pratama Jakarta Cilandak,15,"agung sedyotomo
4 reviews·4 photos
6 months ago



(Translated by Google) Just because they don't have an online queue, they don't get served. Even though the TPT counter is empty, there are no visitors.. It's troublesome if you want to be a good WP.. …More
4"
KPP Pratama Jakarta Cilandak,16,"Indrawan Saputra
Local Guide·1,589 reviews·3,821 photos
4 years ago













(Translated by Google) One KPP on Jalan Tb. Simatupang.

location before the Cikal and Highscoope school Flyovers. …More
1"
KPP Pratama Jakarta Cilandak,17,"Surya Wirawan
Local Guide·20 reviews·52 photos
a year ago





(Translated by Google) Not long ago, my wife asked her to register for E-Fin, E-Filling & Personal Tax Reporting.
The service is friendly & the information provided is also clear, when I came …More
1"
KPP Pratama Jakarta Cilandak,18,"trisna Ht
Local Guide·308 reviews·125 photos
a year ago



(Translated by Google) came when the Covid pandemic situation took care of the lost NPWP Card. When entering, they were assisted by security officers who were asked about their interests so that they unravel the queue from the start so as …More
1"
KPP Pratama Jakarta Cilandak,19,"Erlin Ardi Cahyaningmas
Local Guide·12 reviews·23 photos
a month ago



(Translated by Google) Great service and friendly staff

(Original) …More
Like"
KPP Pratama Jakarta Cilandak,20,"alvaro nanokuyz
6 reviews·6 photos
a year ago



(Translated by Google) It's been almost 4 months I have registered to visit this Cilandak Kpp ... and never been able to. It's always full hours ... it's crazy ... I can't get there too because there's no schedule for visiting ... please I …More
11"
KPP Pratama Jakarta Cilandak,22,"iskandar ray
Local Guide·776 reviews·1,825 photos
4 years ago



(Translated by Google) Comfortable and tasty place to wait for a queue

(Original) …More
1"
KPP Pratama Jakarta Cilandak,23,"Andi Dharma
6 reviews
2 months ago
(Translated by Google) Fast and satisfying service

(Original)
Pelayanan cepat dan memuaskan
Like"
KPP Pratama Jakarta Cilandak,24,"Moch Buhori
6 reviews·1 photo
a year ago



(Translated by Google) Why can't I make online queues ... it's always full ... how busy are visitors ... because I want to take care of my NPWP ... please help …More
6"
KPP Pratama Jakarta Cilandak,25,"Alfa B
1 review
3 months ago
(Translated by Google) forgot effin? is there a solution?

(Original)
lupa efin? ada solusi kah?
Like"
KPP Pratama Jakarta Cilandak,26,"Zia Ulhaq
5 reviews·2 photos
a month ago
(Translated by Google) Get good service

(Original)
Dapat pelayanan baik
Like"
KPP Pratama Jakarta Cilandak,27,"Alexander Samuel
1 review·1 photo
2 years ago



(Translated by Google) Afternoon, want to ask for tax reporting, can you come right away or not? The thing is there are annual reports such as having to face-to-face with the relevant tax official ... thanks in advance ... …More
Like"
KPP Pratama Jakarta Cilandak,28,"Muhammad Qosasih
Local Guide·158 reviews·91 photos
a year ago



(Translated by Google) Everything is completely online, the service is friendly, the TPT officers have replaced them fresher …More
Like"
KPP Pratama Jakarta Cilandak,29,"Tahu Gejrot
2 reviews·12 photos
2 years ago
(Translated by Google) thanks for the tamarin candy

(Original)
makasih permen tamarinnya
Like"
KPP Pratama Jakarta Cilandak,30,"Nugroho Haryanto
2 reviews·6 photos
2 years ago



(Translated by Google) KPP with very satisfying online services in the midst of the Covid-19 pandemic (y) …More
Like"
