kpp,id,review
KPP Pratama Jakarta Gambir Dua,0,"Hanna Hotmauly
Local Guide·32 reviews·93 photos
a month ago
Good services :)
Like"
KPP Pratama Jakarta Gambir Dua,1,"SUPRIHATIN
1 review
a month ago
Good services
Like"
KPP Pratama Jakarta Gambir Dua,2,"Fauzan Putri
Local Guide·46 reviews·131 photos
5 years ago
cz I spent all of my weekdays include some my weekend here.. lol..
Like"
KPP Pratama Jakarta Gambir Dua,3,"Theesa pro
7 reviews·2 photos
5 years ago
This tax office need to complete document, such as  1770 s form and EFIN activation form.
1"
KPP Pratama Jakarta Gambir Dua,4,"cheese cake
1 review
a month ago
👍🏼
Like"
KPP Pratama Jakarta Gambir Dua,5,"Nathania Celio
1 review
a month ago
👍🏼
Like"
KPP Pratama Jakarta Gambir Dua,6,"Nathania Celio Hartono Putri
1 review
a month ago
👍🏼
Like"
KPP Pratama Jakarta Gambir Dua,7,"Dadang NH
Local Guide·105 reviews·170 photos
7 years ago
Great tax office with good service
2"
KPP Pratama Jakarta Gambir Dua,8,"Eko Prasetyo
Local Guide·593 reviews·264 photos
5 years ago
Ok
Like"
KPP Pratama Jakarta Gambir Dua,9,"Arif Supardjo
Local Guide·77 reviews·397 photos
3 years ago
Helpfull office
Like"
KPP Pratama Jakarta Gambir Dua,11,"Darwin Nursamsur
Local Guide·256 reviews·8,003 photos
2 years ago























































(Translated by Google) Disappointing wkwkwkw

So I came here because there were two cases …More
4"
KPP Pratama Jakarta Gambir Dua,12,"Boedhie Ho
Local Guide·33 reviews·8 photos
a month ago
Loket hanya ada 1 petugas dari 2 loket yg tersedia, wktu tunggu jadi agak lama.
Tapi pelayanan petugas ramah dan baik.
Like"
KPP Pratama Jakarta Gambir Dua,13,"Abdul Rokhim
6 reviews·27 photos
2 weeks ago
NEW



(Translated by Google) The place is good behind it there is a mosque

(Original) …More
Like"
KPP Pratama Jakarta Gambir Dua,14,"Iffah Fithriyyah
2 reviews
3 weeks ago
NEW



(Translated by Google) Great. Thank God fast service. without the hassle like one of the KPP in East Jakarta. make it easy for customers …More
Like"
KPP Pratama Jakarta Gambir Dua,15,"Restu Budiawan
3 reviews
a month ago



(Translated by Google) The service office is comfortable, most importantly the service is satisfying (friendly and fast) …More
Like"
KPP Pratama Jakarta Gambir Dua,16,"Wahyudha Almasdiandra
11 reviews·5 photos
a week ago
NEW



(Translated by Google) The service place is comfortable and the staff is very friendly …More
Like"
KPP Pratama Jakarta Gambir Dua,17,"Andry Christ
2 reviews·1 photo
a month ago



(Translated by Google) The waiting place is quite comfortable, the service is okay. …More
Like"
KPP Pratama Jakarta Gambir Dua,18,"Audrey Putri
1 review
5 months ago



(Translated by Google) The service provided is very good, the employees are friendly, and the office is very comfortable 👍👍 …More
Like"
KPP Pratama Jakarta Gambir Dua,19,"Kedamaisi Nimaskari
1 review
a month ago



(Translated by Google) Have outstanding tax counseling services...top

(Original) …More
Like"
KPP Pratama Jakarta Gambir Dua,20,"Samuel Liputra
Local Guide·1,431 reviews·11,513 photos
5 years ago



(Translated by Google) The servants are fast and very helpful and help those who are willing to pay taxes and build the country …More
Like"
KPP Pratama Jakarta Gambir Dua,22,"Safirin Rin
1 review·1 photo
a month ago



(Translated by Google) Comfortable service office, satisfied with the service

(Original) …More
Like"
KPP Pratama Jakarta Gambir Dua,23,"Amelia Amelia
1 review
a month ago
Pelayanan Cepat Tepat dan Petugasnya ramah ramah
Like"
KPP Pratama Jakarta Gambir Dua,24,"irene murtiningsih
1 review
a month ago
(Translated by Google) the officer is friendly

(Original)
petugasnya ramah
Like"
KPP Pratama Jakarta Gambir Dua,25,"Ardiansyah Pratama
1 review
a month ago
(Translated by Google) Good service

(Original)
Pelayanannya bagus
Like"
KPP Pratama Jakarta Gambir Dua,26,"staf siku
1 review
a month ago



(Translated by Google) Very good service and fast response

(Original) …More
Like"
KPP Pratama Jakarta Gambir Dua,27,"Arno Simon
1 review
a month ago
Untuk Wajib Pajak di Wilayah Kelurahan Cideng dan Kelurahan Petojo Selatan
Like"
KPP Pratama Jakarta Gambir Dua,28,"Heri Listianto
2 reviews
a month ago
(Translated by Google) The service is good...thanks

(Original)
Pelayanan nya baik...trims
Like"
