kpp,id,review
KPP Pratama Jakarta Grogol Petamburan,0,"- Richard -
Local Guide·216 reviews·937 photos
3 years ago
So fast and so efficient services.....😅😅
2"
KPP Pratama Jakarta Grogol Petamburan,1,"Budhi Astiyadi
Local Guide·208 reviews·494 photos
6 years ago
Typical government office, and not so good service
Like"
KPP Pratama Jakarta Grogol Petamburan,2,"Benny Ronald Emor
Local Guide·175 reviews·81 photos
6 years ago
Efficient tax office
Like"
KPP Pratama Jakarta Grogol Petamburan,3,"Randy Kulus Sembiring
Local Guide·52 reviews·6 photos
5 years ago
Good!
Like"
KPP Pratama Jakarta Grogol Petamburan,4,"Dony Tjandra
Local Guide·285 reviews·635 photos
5 years ago
So so
1"
KPP Pratama Jakarta Grogol Petamburan,5,"Agustian Halim
Local Guide·113 reviews·411 photos
2 years ago
Clean and helpful
Like"
KPP Pratama Jakarta Grogol Petamburan,6,"Ivon Christando
Local Guide·1,219 reviews·10,855 photos
3 years ago
Excellent service.
Like"
KPP Pratama Jakarta Grogol Petamburan,7,"agus daryanto
13 reviews·14 photos
7 years ago
Good service
Like"
KPP Pratama Jakarta Grogol Petamburan,8,"Azka Azka
Local Guide·23 reviews·266 photos
5 years ago
Good place
Like"
KPP Pratama Jakarta Grogol Petamburan,9,"aini N
Local Guide·38 reviews·265 photos
a month ago
Kemaren kesini dihari kerja , untuk cetak kartu npwp karena dftar npwp online tapi kartu fisik blm dikirim ke alamat. Btw sya ktp daerah . Tapi bisa cetak kpp terdekat. Dan kemaren cetak disini cepet banget ga antri, dan gratis
Like"
KPP Pratama Jakarta Grogol Petamburan,11,"Hanung Teguh
Local Guide·103 reviews·459 photos
3 months ago















(Translated by Google) Had a consultation via whatsapp because the tax was always full. But because it's quite complicated, I don't want to have to come to the office. …More
Like"
KPP Pratama Jakarta Grogol Petamburan,12,"Toni Aragamiii
5 reviews·4 photos
3 months ago



(Translated by Google) When it arrived, it was very busy, but the reporting service was good, maybe next time drinking water could be provided for those in line. …More
1"
KPP Pratama Jakarta Grogol Petamburan,13,"Julianto Mulyo Wibowo
Local Guide·13 reviews·14 photos
6 months ago









(Translated by Google) Making an online queue is hard to get because the daily quota is only 20 people for TPT services
But it was my turn to arrive at the KPP, only the staff chatted, there was no WP …More
Like"
KPP Pratama Jakarta Grogol Petamburan,14,"astyadi
Local Guide·158 reviews·134 photos
a year ago



















(Translated by Google) VISION: TO BE THE BEST TAX OFFICE

begging for service to be improved, many people are queuing, some are already …More
2"
