kpp,id,review
KPP Pratama Jakarta Jagakarsa,0,"OctaVius Agung S
1 review
3 months ago
Goodservis
Like
Response from the owner3 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,1,"Herwikson Sitorus
4 reviews
a year ago
Ok
Like
Response from the owner5 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,2,"Rahmad Romadhon
1 review
3 weeks ago
NEW
selamat pagi bapak / Ibu saya mau bertanya untuk NPWP asli bisa diambil di KPP langsung kah saya membuat NPWP sudah lama hanya dulu diberi tanda terima saja dan nomer NPWP ny saja saya belum mendapatkan kartu NPWP nya mohon dibantu terimaksih...
1
Response from the owner3 weeks ago
(Translated by Google) Please come to KPP Pratama Jakarta Jagakarsa by showing proof of your identity to get a physical card. For ecards, you can access the online djp first and download the ecard. …More"
KPP Pratama Jakarta Jagakarsa,3,"Windy Sumekar
8 reviews·3 photos
3 months ago



(Translated by Google) Because at that time the ticket queue D at the help desk table lasted for up to 1 hour, from my arrival at 9.30 there was only 1 help desk officer who served 1 WP for 1 hour, after 10.30 I just added 1 more officer, …More
1
Response from the owner2 months ago
(Translated by Google) Thank you for the review..sorry for the inconvenience. In the future we will improve the service in our helpdesk.. …More"
KPP Pratama Jakarta Jagakarsa,4,"Ade Juniar
Local Guide·93 reviews·41 photos
5 months ago



(Translated by Google) I want to ask, what is the process for changing the address of the kpp npwp from Pontianak to Jagakarsa? Because I want to take care of efin, the problem is that I have a friend, he already has an ID card in Jakarta, …More
1
Response from the owner3 months ago
(Translated by Google) Try to come to the KPP according to the latest domicile. So that it can be processed to move the KPP …More"
KPP Pratama Jakarta Jagakarsa,5,"Chindy Caesari Kasindra Putri
3 reviews
3 months ago



(Translated by Google) The service is friendly, kind and certainly informative. When you go there, you don't have to take a photocopy directly to the photocopy, so we find it really helpful not to have to look for a photocopier. Thank You …More
Like
Response from the owner2 months ago
(Translated by Google) Thanks for visiting sister

(Original) …More"
KPP Pratama Jakarta Jagakarsa,6,"Andree Dwi Wijaya
1 review
4 months ago



(Translated by Google) Friendly staff, very fast response, whether via offline or online. Thank you KPP Jagakarsa Officers, more advanced and successful 👍👍 …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you, Sis, for your review of our service. I wish you more success in your business …More"
KPP Pratama Jakarta Jagakarsa,7,"Eko Budiyanto
3 reviews
3 months ago



(Translated by Google) Thank you to KPP Pratama Jagarkasa for the fast and responsive service, especially Mr. Dwi and Mr. Fauzi …More
Like
Response from the owner2 months ago
(Translated by Google) Thanks for visiting sister

(Original) …More"
KPP Pratama Jakarta Jagakarsa,8,"Roy Bethoven
2 reviews
3 months ago



(Translated by Google) Pak Nanang's service is very friendly and fast, amazingly satisfying, thank you. …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for being a good taxpayer

(Original) …More"
KPP Pratama Jakarta Jagakarsa,9,"Kurniadi W. Nugroho
Local Guide·201 reviews·33 photos
3 months ago



(Translated by Google) Great service. There has been an increase in taxpayers.

(Original) …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review. Hopefully we can further improve our services to taxpayers …More"
KPP Pratama Jakarta Jagakarsa,11,"Ram Doni
2 reviews
3 months ago



(Translated by Google) Alhamdulillah, extraordinary service, very top full of comfortable atmosphere..👍👍👍 …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,12,"ahmad hambali
2 reviews·1 photo
3 months ago



(Translated by Google) Hello sis, I want to ask for the creation of the EPIN code, can I register online? …More
Like
Response from the owner3 months ago
(Translated by Google) You can go through the 1500200 tax register or send it via email to the registered kpp by attaching a scan of your npwp and ktp bro …More"
KPP Pratama Jakarta Jagakarsa,13,"rosalia miranda
1 review
3 months ago



(Translated by Google) Very good service, satisfying and fast. Thank you, bang dwi …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,14,"Selamet Ahmad
2 reviews
3 months ago



(Translated by Google) Thank you Jagakarsa tax, especially Mrs. Resti and Mas Dwi. great... …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,15,"Pradana Komputer
Local Guide·85 reviews·97 photos
a year ago



(Translated by Google) The service is friendly, there is already a queue machine so the queue is neater …More
1
Response from the ownera year ago
(Translated by Google) Thank you for visiting KPP Pratama Jakarta Jagakarsa, sis ... …More"
KPP Pratama Jakarta Jagakarsa,16,"RIZKY YAPI ADITYA 4c
1 review·2 photos
3 months ago



(Translated by Google) Great fast service. Jagakarsa and Pak Dwi are second to none. …More
1
Response from the owner3 months ago
(Translated by Google) Thank you for the review sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,17,"sandi wigryatama
Local Guide·21 reviews·9 photos
a year ago



(Translated by Google) The staff are friendly, including the security guard, except for 1 person named Sonya, I asked nicely but was answered in a harsh tone, is it because I am only an online motorcycle taxi, the numbers I feel are …More
2
Response from the owner3 months ago
(Translated by Google) Thank you for the information, Sis, Sorry for the inconvenience... hopefully in the future our service can be better.. …More"
KPP Pratama Jakarta Jagakarsa,18,"Nhaomy Panjaitan
4 reviews
5 months ago



(Translated by Google) Good service, easy building access

(Original) …More
Like
Response from the owner5 months ago
(Translated by Google) Thank you brother, I hope you are always satisfied with our service. …More"
KPP Pratama Jakarta Jagakarsa,19,"Syarip Udin
1 review
4 months ago



(Translated by Google) Complaints must be handled quickly

(Original) …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,20,"Santi Ajjah
1 review
a year ago



(Translated by Google) I want to ask, can I represent you for making the Npwp? The problem is that it can't be verified online for nik …More
Like
Response from the owner5 months ago
(Translated by Google) To make a NPWP, if you want to be represented, you must bring a power of attorney, …More"
KPP Pratama Jakarta Jagakarsa,22,"Nur Kholid
1 review
4 months ago



(Translated by Google) Good fast friendly service

(Original) …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for visiting Sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,23,"Nats
1 review
a year ago



(Translated by Google) His office was after Graha Simatupang, before Zuria. people around usually call it the Black House. Because the building is black, but the occupants have white hearts …More
2
Response from the ownera year ago
(Translated by Google) That's right bro..be white hearted;)

(Original) …More"
KPP Pratama Jakarta Jagakarsa,24,"Andi Dharma
6 reviews
2 months ago



(Translated by Google) The service is cool the place is good

(Original) …More
Like
Response from the owner2 months ago
(Translated by Google) Thank you brother for visiting

(Original) …More"
KPP Pratama Jakarta Jagakarsa,25,"Beda Raffa
1 review
4 months ago
(Translated by Google) Very good service

(Original)
Sangat bagus pelayanan y
Like
Response from the owner3 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,26,"Risky Helmi
1 review
a year ago



(Translated by Google) Sir, I have made my NPWP for a long time but how come it didn't end? …More
4
Response from the owner5 months ago
(Translated by Google) Brother can check at our service counter by bringing proof of identity …More"
KPP Pratama Jakarta Jagakarsa,27,"Ido Krishna
3 reviews
a year ago



(Translated by Google) For npwp consultation please contact: 0877 9653 9829

(Original) …More
Like
Response from the owner5 months ago
(Translated by Google) Thank you for informing

(Original) …More"
KPP Pratama Jakarta Jagakarsa,28,"Risma Aprilia
1 review
a year ago



(Translated by Google) Easy access and close to the TB Simatupang highway. Hopefully in the future it will have its own building🎉😄 …More
Like
Response from the ownera year ago
(Translated by Google) Amen, sis .. Hopefully you and other taxpayers can continue to contribute to the country, so that we and others can provide better services .. …More"
KPP Pratama Jakarta Jagakarsa,29,"Faisal Pirdaus
1 review
4 months ago
(Translated by Google) Good service

(Original)
Pelayananya baik
Like
Response from the owner3 months ago
(Translated by Google) Thank you for visiting Sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,30,"FJ Senduk
3 reviews
a year ago



(Translated by Google) When do you have your own building? So you don't get confused about online taxi / ojek drivers …More
2
Response from the ownera year ago
(Translated by Google) Just pray, sis ...

(Original)
Doa kan saja kak.."
KPP Pratama Jakarta Jagakarsa,31,"hendra ikhsan
Local Guide·10 reviews·11 photos
3 months ago
(Translated by Google) Okay..

(Original)
Oke..
Like
Response from the owner3 months ago
(Translated by Google) Thank you brother

(Original)
Terima kasih kak"
KPP Pratama Jakarta Jagakarsa,33,"Fei
2 reviews
a year ago



(Translated by Google) finally we also found the location of Jagakarsa KPP on the google map …More
1
Response from the ownera year ago
(Translated by Google) Thank you for visiting

(Original)
Terima kasih sudah berkunjung"
KPP Pratama Jakarta Jagakarsa,34,"mifta andhisa
3 reviews
a year ago



(Translated by Google) The office is in the same building as the Pasar Minggu Tax Office …More
2
Response from the ownera year ago
(Translated by Google) So true

(Original)
Betul banget"
KPP Pratama Jakarta Jagakarsa,35,"ivo bravo
2 reviews
a year ago



(Translated by Google) There is a mosque, canteen, and quite a large parking lot …More
2
Response from the ownera year ago
(Translated by Google) Don't forget there are public toilets too ... ATM and Mini ATM for paying taxes are also available …More"
KPP Pratama Jakarta Jagakarsa,36,"Alethea Channel
1 review
a year ago



(Translated by Google) Kpp jagakarsa location is the same as the Sunday market ... …More
1
Response from the ownera year ago
(Translated by Google) Yes bro

(Original)
iya kak"
KPP Pratama Jakarta Jagakarsa,37,"Dewi Sari
Local Guide·23 reviews·8 photos
9 months ago
(Translated by Google) Good service

(Original)
Baik pelayanan nya
Like
Response from the owner5 months ago
(Translated by Google) Thank you. Happy to serve you

(Original) …More"
KPP Pratama Jakarta Jagakarsa,38,"Yayang Cahaya
11 reviews·20 photos
a year ago



(Translated by Google) Location of one building with KPP Pasar Minggu

(Original) …More
2
Response from the ownera year ago
(Translated by Google) Yes, totally correct

(Original)
Iya betul sekali"
KPP Pratama Jakarta Jagakarsa,39,"Rahma Wati0871
1 review·11 photos
a year ago



(Translated by Google) It's easy to find the address and easy access

(Original) …More
1
Response from the ownera year ago
(Translated by Google) Don't forget to pay taxes, sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,40,"agung perdana putra
Local Guide·15 reviews·8 photos
a year ago



(Translated by Google) Not bad for a shade for soljum

(Original) …More
2
Response from the ownera year ago
(Translated by Google) Don't forget to pray, sis

(Original) …More"
KPP Pratama Jakarta Jagakarsa,41,"Erin Sinaga
1 review·6 photos
a year ago



(Translated by Google) One building with KPP Pasar Minggu

(Original) …More
1
Response from the ownera year ago
(Translated by Google) Yes, Mother Erin

(Original)
Iya benar Ibu Erin"
