kpp,id,review
KPP Pratama Jakarta Jatinegara,0,"dian dilza
2 reviews·2 photos
3 months ago
the service is very good, friendly and very helpful. there is an online service by WhatsApp, the response is also very fast.
3"
KPP Pratama Jakarta Jatinegara,1,"Hadi Indra
1 review·1 photo
3 months ago
good services
Like"
KPP Pratama Jakarta Jatinegara,2,"Lidia Febrianti
2 reviews
3 months ago
Good services
Thank you
2"
KPP Pratama Jakarta Jatinegara,3,"dheny firmansyah
15 reviews·2 photos
3 months ago
great service officer..
2"
KPP Pratama Jakarta Jatinegara,4,"Gandhi Ferdinand
Local Guide·751 reviews·5,495 photos
4 years ago
Nice service here. Spacious waiting space with adequate seatings.. the toilet needs to be cleaned more, though..
4"
KPP Pratama Jakarta Jatinegara,5,"Audi Kasbara
Local Guide·169 reviews·1,141 photos
5 years ago
Tax Office that serves taxpayers with courtesy and listens to needs of them. Quite welcoming atmosphere.
3"
KPP Pratama Jakarta Jatinegara,6,"Gojek Jakarta Driver
1 review
3 months ago
Good
Like"
KPP Pratama Jakarta Jatinegara,7,"herejansa sidyapamasa
1 review
3 months ago
10/10
3"
KPP Pratama Jakarta Jatinegara,8,"Meyanne Rasita
3 reviews
3 months ago
Helpful 👌🏻
Like"
KPP Pratama Jakarta Jatinegara,9,"Zaenal Fahmi
Local Guide·28 reviews·107 photos
4 years ago
Good service.
2"
KPP Pratama Jakarta Jatinegara,11,"Yasir
Local Guide·99 reviews·12 photos
5 years ago
Good service
2"
KPP Pratama Jakarta Jatinegara,12,"Kang Asror Bae
Local Guide·4 reviews·82 photos
7 years ago
Ok
1"
KPP Pratama Jakarta Jatinegara,13,"iman mans
Local Guide·167 reviews·28 photos
4 years ago
Good
2"
KPP Pratama Jakarta Jatinegara,14,"evanra effendi
Local Guide·136 reviews
4 years ago
City Tax Office
2"
KPP Pratama Jakarta Jatinegara,15,"chairunnisa sarifudin
1 review·1 photo
3 months ago



(Translated by Google) the service is very good. When you first enter, you are immediately greeted by friendly staff. plus there are officers who are really quick to ask questions so we don't get confused, even given information about the …More
2"
KPP Pratama Jakarta Jatinegara,16,"Nurrahma Haqqiqi
1 review·2 photos
3 months ago



(Translated by Google) Very satisfied because it has been helped for this year's tax reporting, continue to improve for service and more success for the people there.. …More
1"
KPP Pratama Jakarta Jatinegara,17,"Virgo Nisty
1 review·1 photo
3 months ago



(Translated by Google) The service is very good, the staff is also very friendly and helpful …More
1"
KPP Pratama Jakarta Jatinegara,18,"Siti Hadijah
1 review·1 photo
3 months ago



(Translated by Google) Service at KPP Jatinegara is fast, no need to queue, served by a friendly and kind lady, plus I got a bonus for my child, I'm also grateful and successful, so for the KPP Jatinegara …More
1"
KPP Pratama Jakarta Jatinegara,19,"Muji Hayati
1 review·1 photo
3 months ago



(Translated by Google) The office service is taxed in Jatinegara, very satisfying, the madam is very kind and clearly directs her @risa …More
1"
KPP Pratama Jakarta Jatinegara,20,"TRIA NINGSIH
4 reviews·3 photos
3 months ago



(Translated by Google) thank you for the very friendly service, from security to the staff are very helpful. …More
2"
KPP Pratama Jakarta Jatinegara,22,"inris seno
1 review·1 photo
3 months ago



(Translated by Google) Thank you for the good service, the people are very friendly🙏 …More
Like"
KPP Pratama Jakarta Jatinegara,23,"Yepi Caung
1 review·1 photo
3 months ago



(Translated by Google) Thank you for the service, really very good service.

(Original) …More
1"
