kpp,id,review
KPP Pratama Jakarta Kalideres,0,"Irpan Ali Rahman
Local Guide·507 reviews·4,452 photos
3 months ago
Good service
Like"
KPP Pratama Jakarta Kalideres,1,"Veni K Putri
Local Guide·90 reviews·118 photos
3 years ago
The staffs are really helpful. It is very comfortable to stay there eventhough the office is so crowded. Make sure to copy every documents when you come here because the office doesn't have a copy machine.
1"
KPP Pratama Jakarta Kalideres,2,"Hernita Xie
Local Guide·34 reviews·4 photos
4 years ago
Pelayanannya ramah dan cepat. Best place to ask and do tax and duty. Thank you very much👍
2"
KPP Pratama Jakarta Kalideres,3,"Haniv
Local Guide·325 reviews·289 photos
5 years ago
Good service
2"
KPP Pratama Jakarta Kalideres,4,"Dolles Sisters Official
Local Guide·300 reviews·38 photos
5 years ago
Good service
2"
KPP Pratama Jakarta Kalideres,5,"Grab Gojek SMS
53 reviews·33 photos
5 years ago
Top
Like"
KPP Pratama Jakarta Kalideres,6,"Fikry Faturrochman
Local Guide·81 reviews·76 photos
3 months ago



















(Translated by Google) The service is very good, fast and friendly. There are various facilities available here, such as special parking for disabilities, special lanes for disabilities, and special queues for the elderly, disabled, …More
6"
KPP Pratama Jakarta Kalideres,7,"Denny Lukman
Local Guide·14 reviews·39 photos
a month ago











(Translated by Google) Very good.

There is a KPP Officer who is very good and very knowledgeable, who guided me to …More
2"
KPP Pratama Jakarta Kalideres,8,"Mery Rusli
6 reviews·37 photos
3 months ago





(Translated by Google) Very helpful.. Everyone is very friendly and the office is comfortable. I've tried to stay at home until the laptop is hot and can't finally go to the office directly. Click.. Click...done. …More
2"
KPP Pratama Jakarta Kalideres,9,"Firdaus Juli
1 review·2 photos
3 months ago



(Translated by Google) This morning I visited the KPP Pratama Jakarta Kalideres. Frankly, I was very impressed, because I had never had a long discussion and chat with a tax officer so that what I had in mind, the KPP and the bureaucratic …More
5"
KPP Pratama Jakarta Kalideres,11,"Nur Wahidah
2 reviews·4 photos
3 months ago



(Translated by Google) I take care of my personal and institutional tax returns, the staff is well served, friendly, polite and very patient (Mas Nanda). It's my first time taking care of an SPT and I'm still confused, but I was helped by …More
3"
KPP Pratama Jakarta Kalideres,12,"Najwa Akhdan
2 reviews
3 months ago



(Translated by Google) For an explanation of the application, the form is clear and detailed....the staff was friendly, this afternoon, March 31, I was past working hours, still being served until the proof of the report was sent.....thank …More
2"
KPP Pratama Jakarta Kalideres,13,"Agus Marianto
1 review
3 months ago





(Translated by Google) the service there is very satisfying, for the 2021 Annual SPT reporting on March 31, 2022
Thank you for service …More
2"
KPP Pratama Jakarta Kalideres,14,"fiwi laa
Local Guide·63 reviews·332 photos
3 years ago



(Translated by Google) Tax office in West Jakarta, Kalideres area. The place is comfortable, cool, there are lots of waiting chairs, there is a toilet and coffee corner. Officers are responsive and helpful. …More
2"
KPP Pratama Jakarta Kalideres,15,"galih audah Rahman
5 reviews·1 photo
3 months ago



(Translated by Google) The service is very unsatisfactory, the service should be able to be done from 8 o'clock but almost 9 o'clock the service employee hasn't come yet …More
3"
KPP Pratama Jakarta Kalideres,16,"Aileen Natalia
Local Guide·169 reviews·1,065 photos
4 years ago



(Translated by Google) If you are already working, you must pay taxes. Make this NPWP must be in accordance with the districts registered on the KTP, if the Kalideres sub-district please come here. Open at 8:00 in the morning, on time & the …More
3"
KPP Pratama Jakarta Kalideres,17,"Imam Nurhiyat
2 reviews·1 photo
4 months ago



(Translated by Google) In chat via WhatsApp and Gmail, there is no response at all, it's your turn to come directly, what's all online …More
1"
KPP Pratama Jakarta Kalideres,18,"nico fergiyono
Local Guide·51 reviews·765 photos
3 years ago













(Translated by Google) The service is less friendly ...
Memory 3S should be in service ... …More
3"
KPP Pratama Jakarta Kalideres,19,"Didi Agus
2 reviews
3 months ago



(Translated by Google) Thank God my reporting is complete, the detailed officers explain easily, thank you🙏 …More
1"
KPP Pratama Jakarta Kalideres,20,"Bagus Wawan
7 reviews·26 photos
3 months ago







(Translated by Google) The staff is friendly
Yesterday the same Mr. Revelation IT quickly sat-set wat-wet teaching eform applications …More
Like"
KPP Pratama Jakarta Kalideres,22,"Ary Haryanti
1 review
3 months ago



(Translated by Google) Alhamdulillah, the service is amazing, I have been very helpful. Bravo always …More
3"
KPP Pratama Jakarta Kalideres,23,"Kamaruddin Chairani
1 review
3 months ago



(Translated by Google) The service of the tax officer is quite friendly and I am very satisfied with their service …More
1"
KPP Pratama Jakarta Kalideres,24,"Willy Andrian
1 review
3 months ago





(Translated by Google) The service is fast and immediately finished the same day
Thank you brother for working well here …More
1"
KPP Pratama Jakarta Kalideres,25,"Hardy Damanik
1 review
3 months ago
(Translated by Google) The service is very satisfying

(Original)
Pelayanannya sangat memuaskan
Like"
KPP Pratama Jakarta Kalideres,26,"Siti Nur Hanipah
1 review
5 months ago



(Translated by Google) sometimes the phone is picked up, sometimes not, but most of the time it's not picked up, in WA it takes too long to respond. …More
Like"
