kpp,id,review
KPP Pratama Jakarta Kebayoran Baru Dua,0,"Bhirawa Septariyanto
Local Guide·242 reviews·1,609 photos
7 months ago
Good service start from security, receptionist n officer.
Like
Response from the owner5 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,1,"Priscilla Tobing
1 review
3 months ago
Fast service, helpful, very responsive.  Please keep it up.  Thank you very much Ms. Kaka Elasari for your kind assistance.
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,2,"Didiet Ary Poerwanto
1 review
3 months ago
Helpfully in any difficulty cases happened
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,3,"Diaz Aushil
34 reviews
10 months ago
The most excellent tax office in jakarta:)
3
Response from the owner5 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,4,"Daneira Diaji
1 review
3 months ago
Great service!!
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,5,"Berdy Frant
Local Guide·346 reviews·435 photos
3 years ago
Ok
1"
KPP Pratama Jakarta Kebayoran Baru Dua,6,"Mochammad Fariz
Local Guide·52 reviews·53 photos
3 months ago
Good
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,7,"Gatot Widayanto
513 reviews
5 years ago
Was here this morning for Tax Amnesty thing.  Impressed with the excellent service by the Staff.  This is really good.  Coffee and snack were provided. Queueing system is good,  everything was done promptly.  Thanks a lot Pak!
Like"
KPP Pratama Jakarta Kebayoran Baru Dua,8,"Julianta Julian
Local Guide·722 reviews·2,394 photos
6 years ago
Local tax office has going through great transformation, the staffs are friendly and you can ask info. However, because they are serving huge ""customers"", they are always long queue, especially near end of the month or during year-end. :)
1"
KPP Pratama Jakarta Kebayoran Baru Dua,9,"Putune Mbah Mangoen
Local Guide·35 reviews·7 photos
10 months ago
Nice place
1
Response from the owner5 months ago
(Translated by Google) Thank you for the review given.
KPP Pratama Jakarta Pesanggrahan is committed to providing the best service for all taxpayers. …More"
KPP Pratama Jakarta Kebayoran Baru Dua,11,"Berdy Frant
Local Guide·346 reviews·435 photos
3 years ago
Ok
1"
