kpp,id,review
KPP Pratama Jakarta Kramat Jati,0,"r. y
2 reviews
3 years ago
Ok
Like"
KPP Pratama Jakarta Kramat Jati,1,"win harefa
Local Guide·176 reviews·1,786 photos
3 years ago
Good
Like"
KPP Pratama Jakarta Kramat Jati,2,"Chivita Febryna
Local Guide·151 reviews·503 photos
5 months ago









(Translated by Google) The place is easy to reach.
Service from security is good and very friendly.
But unfortunately, I have contacted this tax office by telephone many times but …More
3"
KPP Pratama Jakarta Kramat Jati,3,"L Noya
1 review
3 months ago



(Translated by Google) Today I went to the KPP Kramat Jati, East Jakarta, the services ranging from security to tax volunteers who helped me complete the annual tax report, they were amazing!!! The online queuing system is also good, it …More
Like"
KPP Pratama Jakarta Kramat Jati,4,"Zsa Zsa Nahrasiyah
2 reviews
3 weeks ago
NEW



(Translated by Google) Bad service. I want to print an old npwp, I have sent an email to print my npwp for how many months, no reply. Call center is not picked up. …More
Like"
KPP Pratama Jakarta Kramat Jati,5,"Beki Dahar
Local Guide·122 reviews·1,011 photos
2 years ago



(Translated by Google) The experience of making a new NPWP is new because of the old broken card ... the latest information is that if you have a NPWP every 1 year, report to the tax office so that the NPWP is active continuously, but if …More
2"
KPP Pratama Jakarta Kramat Jati,6,"Nirmala Ariesta
2 reviews·1 photo
2 months ago



(Translated by Google) All staff very unhelpful. The staff doesn't know anything. Security is cool to hang out. Asked nicely even blamed. He knows it's hot in front. But just B. I can only be friendly with people who are ""in uniform"". …More
1"
KPP Pratama Jakarta Kramat Jati,7,"Sang Gumilang
Local Guide·73 reviews·236 photos
4 years ago



(Translated by Google) The Jakarta Kramat Jati Primary Service Office (KPP) is located on Jalan Dewi Sartika Cawang Kramat Jati, a place to take care of NPWP or everything related to the taxation of the Kramat Jati area and its …More
1"
KPP Pratama Jakarta Kramat Jati,8,"IGNASPUT JOURNEY
Local Guide·792 reviews·1,705 photos
a month ago



(Translated by Google) Primary tax office in general

(Original) …More
Like"
KPP Pratama Jakarta Kramat Jati,9,"setyanto edy wibowo
Local Guide·60 reviews·154 photos
8 months ago



(Translated by Google) Online there is no solution, come directly there is also no solution, want to reprint the NPWP card, ask to fill out the form, the queue is full, print atm for 10 minutes, so while you can pass and want to obey taxes, …More
3"
KPP Pratama Jakarta Kramat Jati,11,"arin ningsih96
Local Guide·19 reviews·16 photos
a year ago





(Translated by Google) Just info for the process at Kpp, now you have to use the queue, the list is at kunjung.pajak.go.id
And consultation hours are until 12:00 …More
5"
KPP Pratama Jakarta Kramat Jati,12,"Farahana Kresno
Local Guide·47 reviews·24 photos
a year ago



(Translated by Google) The waiter is not as fun as when I went to Matraman Pratama KPP. Like immediately being kicked out even though I already made an appointment on the visit. He also didn't ask either. I want to make an e-mail, it has …More
1"
KPP Pratama Jakarta Kramat Jati,13,"PT Sanfarizka Indotama Cipta
1 review
7 months ago





(Translated by Google) I want to ask about this KPP, which KPP do you enter?
Jalan Balai Rakyat No.86 RT.005 RW.005 Balekambang-Kramat Jati, East Jakarta …More
Like"
KPP Pratama Jakarta Kramat Jati,14,"Joddy
Local Guide·81 reviews·98 photos
a year ago



(Translated by Google) last came December 28, 2020 (year-end) still operational effectively, fast and friendly service …More
Like"
KPP Pratama Jakarta Kramat Jati,15,"Sarana Legalitas
Local Guide·36 reviews·41 photos
3 years ago



(Translated by Google) Reachable. The office is comfortable and the waiting area for the queue is wide. Taking care of SKT is easy and smooth. …More
Like"
KPP Pratama Jakarta Kramat Jati,16,"Septian Mahawaditra
21 reviews·25 photos
3 months ago



(Translated by Google) Good service. Comfortable office atmosphere. Easy parking. …More
Like"
KPP Pratama Jakarta Kramat Jati,17,"Adrian Armando
Local Guide·584 reviews·1,442 photos
3 years ago



(Translated by Google) Making NPWP is easy, the employee counter number 5 is friendly + cool. …More
Like"
KPP Pratama Jakarta Kramat Jati,18,"Megawati Cantik
Local Guide·63 reviews·149 photos
6 months ago



(Translated by Google) At the end of 2021, KPP Pratama Kramatjati achieves the target of 100%. Spirit.. …More
Like"
KPP Pratama Jakarta Kramat Jati,19,"Devara Abdulah
7 reviews·1 photo
a year ago



(Translated by Google) From the first, when I went to the tax office here, I was friendly too, what else would you smile, come good, until there the security guard makes the voice good too crank up, it's not really good to explain !!! …More
1"
KPP Pratama Jakarta Kramat Jati,20,"andrean martin
5 reviews
a week ago
NEW



(Translated by Google) disappointed already far but yeah. . .

(Original) …More
Like"
KPP Pratama Jakarta Kramat Jati,22,"baton safari kukuh
Local Guide·977 reviews·3,440 photos
3 years ago



(Translated by Google) The place is pretty clean. Not queued

(Original) …More
Like"
KPP Pratama Jakarta Kramat Jati,23,"Septasari Handayani
Local Guide·75 reviews
4 years ago



(Translated by Google) Friendly and fairly fast employee service. Neatly organized, for those who want a tax report if you want to make e-Filling, you can go directly to the top floor. Only enough registration will be assisted later. But …More
1"
KPP Pratama Jakarta Kramat Jati,24,"Bayu Erlangga
Local Guide·58 reviews·20 photos
4 years ago



(Translated by Google) Jm 9 through the counter that opens cm 1 only.

(Original) …More
Like"
KPP Pratama Jakarta Kramat Jati,25,"Muhamad Rafli
9 reviews
a year ago



(Translated by Google) Great. Print NPWP Ampe 1 year not finished 🤣 tired 5x going back and forth to work …More
5"
KPP Pratama Jakarta Kramat Jati,26,"quality koala teacher
Local Guide·28 reviews·1 photo
4 years ago



(Translated by Google) 9:00 a.m. still quiet, good & fast service. not arrived an hour and already got the card, just ask for the efin number tomorrow the next day. good lah! …More
Like"
KPP Pratama Jakarta Kramat Jati,27,"Mely Martianingsih
1 review
3 years ago



(Translated by Google) I want to ask? To report tax on VAT, PPH 22, PPH 23 If it exceeds the 20th, will it be fined? Because the treasurer is filing a leave ... Please respond ... …More
Like"
KPP Pratama Jakarta Kramat Jati,28,"jer Setiawan
Local Guide·175 reviews·364 photos
2 years ago



(Translated by Google) for npwp to queue for 1 and a half hours the process for it didn't arrive until 10 min, the staff was cool and friendly …More
Like"
KPP Pratama Jakarta Kramat Jati,29,"Mario Water Beauty
1 review·2 photos
5 years ago



(Translated by Google) I already made NPWP online, but I haven't sent it to home for 1 year. He said 3 months at the latest sent. But I haven't sent one year. …More
5"
KPP Pratama Jakarta Kramat Jati,30,"Juhendra Harahap
Local Guide·305 reviews·1,890 photos
3 months ago



(Translated by Google) Pratama Jakarta tax office, Kramat Jati.

(Original) …More
Like"
KPP Pratama Jakarta Kramat Jati,31,"heriah al-adzka
6 reviews·7 photos
2 years ago



(Translated by Google) The service took a long time, at the third counter, even though I only took the card ... more than 1 year the card was sent to the house ... The turn I took was really slow ... …More
Like"
KPP Pratama Jakarta Kramat Jati,33,"batu ampar
2 reviews
2 years ago



(Translated by Google) good night .. I want to ask, can we check our tax arrears online? last year I forgot to report the tax .. how to do it? thank you …More
Like"
KPP Pratama Jakarta Kramat Jati,34,"Sulaiman Sulaiman
1 review·3 photos
5 years ago



(Translated by Google) Making NPWP processes easy and fast at no charge ... the service is very good. Good …More
2"
KPP Pratama Jakarta Kramat Jati,35,"Arya Permana
Local Guide·11 reviews·14 photos
9 months ago



(Translated by Google) Very cool security service. Helped to the end

(Original) …More
2"
KPP Pratama Jakarta Kramat Jati,36,"nurdin nurdin
Local Guide·16 reviews·20 photos
4 years ago







(Translated by Google) Severe just make e-pin queued until 1 hour more.
Not queued pph report.
What time is it over? …More
Like"
KPP Pratama Jakarta Kramat Jati,37,"Ahmad Marulloh
Local Guide·46 reviews·69 photos
3 years ago



(Translated by Google) Making the NPWP here is really fast, just hope to be patient if the system goes wrong again …More
1"
KPP Pratama Jakarta Kramat Jati,38,"DEDEN A. PERMANA
Local Guide·70 reviews·7 photos
6 years ago



(Translated by Google) tax report here ... wuihhhh ... among 6 computers only 2 are loaded ... the rest is not where to go ... advice ... it's better in the morning ... …More
1"
KPP Pratama Jakarta Kramat Jati,39,"X Fishing
Local Guide·140 reviews·9 photos
4 years ago



(Translated by Google) the cobbler was not good, and the cake ate tubless tires. had to be sincere about a piece of a priest #blogger …More
2"
KPP Pratama Jakarta Kramat Jati,40,"Alena Syallom
1 review
2 years ago



(Translated by Google) Is it open today and can you go there to make a new NPWP? …More
Like"
KPP Pratama Jakarta Kramat Jati,41,"Kiki Pratama
20 reviews·1 photo
a year ago



(Translated by Google) The employees and security are friendly and kind to all Castumer. …More
Like"
KPP Pratama Jakarta Kramat Jati,42,"abukisoccul abukisoccul
Local Guide·188 reviews·1,592 photos
3 years ago



(Translated by Google) Muyul obedient taxpayers 😊👍

(Original) …More
1"
