kpp,id,review
KPP Pratama Jakarta Matraman,0,"muharris f
2 reviews
4 months ago
nice staff and great services. good job
2"
KPP Pratama Jakarta Matraman,1,"erwan iswanto
Local Guide·45 reviews
5 months ago
Very helpful staffs, all service is guaranted to be free here.
3"
KPP Pratama Jakarta Matraman,2,"Kristanto Nirboyo
3 reviews
3 months ago
Helpfull
1"
KPP Pratama Jakarta Matraman,3,"Kurniawan Tulus
3 reviews
6 years ago
Nice place
1"
KPP Pratama Jakarta Matraman,4,"dian pramono
2 reviews·4 photos
2 years ago
No good
Like"
KPP Pratama Jakarta Matraman,5,"Zaenal Fahmi
Local Guide·28 reviews·107 photos
4 years ago
Good service
1"
KPP Pratama Jakarta Matraman,6,"anm wck
2 reviews
8 years ago
Wrong marker
Like"
KPP Pratama Jakarta Matraman,7,"DONI LASUT
Local Guide·634 reviews·340 photos
5 years ago
tax office
1"
KPP Pratama Jakarta Matraman,8,"Randy Oktaryan
1 review
5 years ago
Yes
Like"
KPP Pratama Jakarta Matraman,9,"eka puspita
Local Guide·26 reviews·60 photos
3 months ago



(Translated by Google) The place is comfortable, the service is also fast, sat set, the main thing is don't forget to take the online queue first at visit.pajak.go.id …More
1"
KPP Pratama Jakarta Matraman,11,"Mega Dewi
1 review
a month ago



(Translated by Google) Every time I want to work, I always pass by, in front of his office there is a tire repairman, this tire repairman always cat calls (morning, assalamualaikun, so arrogant, etc.) the one that automatically inflates the …More
2"
KPP Pratama Jakarta Matraman,12,"Inri Flo
3 reviews·2 photos
3 months ago



(Translated by Google) First time coming after the pandemic, and amazed because it was way better than the layout, cleanliness, etc. Having a pleasant attitude and really helpful. Thumbs up 👍🏼 ! …More
1"
KPP Pratama Jakarta Matraman,13,"Dedy Sukoco
1 review·2 photos
3 months ago





(Translated by Google) I swear for what the service is so bad,,, the security needs to be educated on the attitude,,,,
I report like I don't want to beg,,, …More
1"
KPP Pratama Jakarta Matraman,14,"Tiara Nabila
9 reviews·10 photos
4 months ago







(Translated by Google) Just found out that you have to register online first to get a slot at visit.pajak.go.id But thank God you got the slot. All staff here are good, starting from security guards, employees, to their apprentices. …More
1"
KPP Pratama Jakarta Matraman,15,"Eddy Sumardy
1 review
a month ago



(Translated by Google) Corporate Tax Consultation, the service is satisfactory, the KPP officers are friendly and very helpful …More
Like"
KPP Pratama Jakarta Matraman,16,"Merry Sri Mariam
1 review
4 months ago



(Translated by Google) The service from the tax officer is very good and very helpful, my lady is beautiful, very kind and very friendly and patient🙏 …More
Like"
KPP Pratama Jakarta Matraman,17,"Sulaeman leman
5 reviews
4 months ago



(Translated by Google) The palm oil KPP at Pratama Jakarta Matraman office has good service. But at the Pratama Jakarta Matraman office, you have to register online, I didn't get that day. So back and forth. Why online. …More
Like"
KPP Pratama Jakarta Matraman,18,"Agus Tamar
Local Guide·6 reviews·14 photos
a month ago



(Translated by Google) Thank God it was helped for the management... Thank you Mrs. Fanny 🙏🙏🙏 …More
Like"
KPP Pratama Jakarta Matraman,19,"Damayanti Rompu
1 review·1 photo
4 months ago



(Translated by Google) The TPT room is cool, comfortable, cool and there are reading facilities. The staff is friendly and the service is fast …More
Like"
KPP Pratama Jakarta Matraman,20,"Bagus Andys
Local Guide·235 reviews·1,059 photos
3 years ago



(Translated by Google) At 15 o'clock it is still served. Here make a new NPWP. Business section or entrepreneur on the second floor. I quickly got 30 minutes straight so that day was the card. So don't spend time going back and forth. The …More
9"
KPP Pratama Jakarta Matraman,22,"Eddy Sumardy
1 review
a month ago



(Translated by Google) Corporate Tax Consultation, the service is satisfactory, the KPP officers are friendly and very helpful …More
Like"
KPP Pratama Jakarta Matraman,23,"Ramadhan Maulana A
2 reviews·1 photo
6 months ago





(Translated by Google) In the corner seat, father"" who served in 2018/2019.
The service is embarrassing, demeaning us who don't have permanent rizki. We are not capable people, but you have to learn to respect people and speak well, it …More
4"
KPP Pratama Jakarta Matraman,24,"Rohman
1 review
4 months ago





(Translated by Google) Very happy to get the best service with friendly employees and serve wholeheartedly.
Hope it stays consistent …More
Like"
KPP Pratama Jakarta Matraman,25,"Aretha Azisella
1 review·2 photos
5 months ago



(Translated by Google) The room is very comfortable and clean., there is a reading area too. Officers apply health protocols and are friendly. The queuing system is online. …More
2"
KPP Pratama Jakarta Matraman,26,"Riana Anggita Sari
2 reviews
4 months ago



(Translated by Google) The counter is good, there is wifi, there is a computer for self service, the service is also good. Good job! …More
1"
KPP Pratama Jakarta Matraman,27,"Damayanti Rompu
1 review·1 photo
4 months ago



(Translated by Google) The TPT room is cool, comfortable, cool and there are reading facilities. The staff is friendly and the service is fast …More
Like"
KPP Pratama Jakarta Matraman,28,"Didin Jalaludin
1 review
4 months ago



(Translated by Google) The service officers and helpdesk are friendly and patient with all taxpayers …More
Like"
KPP Pratama Jakarta Matraman,29,"shinta dhan
5 reviews
5 months ago





(Translated by Google) Best, friendly, and fast service
Serve wholeheartedly, complete explanation …More
4"
KPP Pratama Jakarta Matraman,30,"Desti Rahmawati95
1 review
3 months ago



(Translated by Google) The service is good, fast, responsive and very friendly, the place is also comfortable …More
Like"
KPP Pratama Jakarta Matraman,31,"Irul Anwar
1 review
4 months ago





(Translated by Google) Very happy to get the best service from KPP Matraman
The staff is super friendly 👍👍👍 …More
1"
KPP Pratama Jakarta Matraman,33,"poday yosamada
Local Guide·115 reviews·189 photos
3 years ago



(Translated by Google) there has been cartoon entertainment at the teller counters for those carrying children. unfortunately the toilet needs improvement. …More
1"
KPP Pratama Jakarta Matraman,34,"duma sweet
2 reviews
3 months ago



(Translated by Google) Service at KPP Pratama is fast n The staff who serve are very helpful and friendly …More
Like"
