kpp,id,review
KPP Pratama Jakarta Menteng Dua,0,"Suryadi Hertanto
Local Guide·2,386 reviews·18,424 photos
3 years ago
Service to tax payer at front end area quite good.
1"
KPP Pratama Jakarta Menteng Dua,1,"Priyo Wasiso
26 reviews·83 photos
2 months ago
One of the best place in central jakarta...👍🏻👍🏻👍🏻
Like"
KPP Pratama Jakarta Menteng Dua,2,"mendua penyuluh
1 review
5 months ago
Best experience. Loveee
1"
KPP Pratama Jakarta Menteng Dua,3,"Ardy Almatsir
163 reviews·594 photos
a year ago
Less than 30 minutes, amazing service
1"
KPP Pratama Jakarta Menteng Dua,4,"Franciano Lengkong
Local Guide·511 reviews·2,153 photos
5 years ago
Central office tax for menteng.dua and.surround, big parking space, profesionally service
Like"
KPP Pratama Jakarta Menteng Dua,5,"Diah Setianingsih
Local Guide·672 reviews·725 photos
4 years ago
The staffs are responsive, the place is clean, and the parking lot is spacy.
1"
KPP Pratama Jakarta Menteng Dua,6,"Fransiscus Xaverius
Local Guide·959 reviews·3,229 photos
3 years ago
Good service
Like"
KPP Pratama Jakarta Menteng Dua,7,"jo agung
Local Guide·24 reviews·21 photos
4 years ago
Goverment tax office
Like"
KPP Pratama Jakarta Menteng Dua,8,"Ardie Nugraha
2 reviews·4 photos
5 years ago
Sip...
1"
KPP Pratama Jakarta Menteng Dua,9,"Suryawan Pancakusuma
Local Guide·53 reviews·342 photos
6 years ago
Nice
2"
KPP Pratama Jakarta Menteng Dua,11,"ma'ul chikal01
1 review·1 photo
2 months ago



(Translated by Google) This includes the largest KPP in jkt, the service is very satisfying, for the security guard the service is good & friendly, 👍 great, the receptionist is good too. The counter is ready to respond quickly. Process Not …More
Like"
KPP Pratama Jakarta Menteng Dua,12,"Marlina Ion
1 review·1 photo
2 months ago



(Translated by Google) The service is friendly, the building is very clean

(Original) …More
Like"
KPP Pratama Jakarta Menteng Dua,13,"Regii Ramadhant02_
3 reviews
2 months ago



(Translated by Google) good service, parking is quite spacious, the security guard also gives clear directions, please improve the service so that it can be better 🙏 …More
Like"
KPP Pratama Jakarta Menteng Dua,14,"Best Ulum
1 review
2 months ago





(Translated by Google) The building is spacious, the lobby is clean, the lobby lights are bright, the service is fast, car parking, motorbikes are free.
Health protocol in place. …More
Like"
KPP Pratama Jakarta Menteng Dua,15,"Vriska Sinta Dewi
6 reviews
5 months ago









(Translated by Google) The parking lot is very spacious, the whole area is clean and tidy
All the staff are very friendly and helpful …More
1"
KPP Pratama Jakarta Menteng Dua,16,"yuli ana
1 review
2 months ago



(Translated by Google) the place is comfortable, clean, neat, fast service, the staff are friendly, the parking is spacious and there is a canteen too 😊 the main facilities are complete …More
Like"
KPP Pratama Jakarta Menteng Dua,17,"Anshori Abib
6 reviews·1 photo
3 months ago



(Translated by Google) It is necessary to choose a more selective reception staff who are more knowledgeable with friendliness and courtesy so that service can be felt …More
Like"
KPP Pratama Jakarta Menteng Dua,18,"Ong Sammi
Local Guide·759 reviews·4,048 photos
8 months ago



(Translated by Google) The tax office for the Menteng area, the building is nice, clean, tidy and there is a canteen too. …More
1"
KPP Pratama Jakarta Menteng Dua,19,"Rizki Putra
Local Guide·165 reviews·2,978 photos
4 years ago







(Translated by Google) As good citizens must obey taxes,
Incidentally come here because they have to take care of the application of the fracture. …More
1"
KPP Pratama Jakarta Menteng Dua,20,"Siti Zulaehah
1 review
2 months ago



(Translated by Google) Good service, clean building, spacious parking lot. Comfortable waiting area. …More
Like"
KPP Pratama Jakarta Menteng Dua,22,"rendy al farist
1 review
2 months ago



(Translated by Google) Report quickly, the process is not complicated, guided by a patient officer2 ..lol..juoosss pokoe👍🏼👍🏼👍🏼 …More
Like"
KPP Pratama Jakarta Menteng Dua,23,"Noer Hayani
2 reviews
2 months ago



(Translated by Google) The service is friendly .... the place is clean. basically it's comfortable to visit this service place …More
Like"
KPP Pratama Jakarta Menteng Dua,24,"putri talenta
1 review
5 months ago



(Translated by Google) A very comfortable tax office, adequate facilities for stakeholders, the services provided are also in accordance with the needs...very good …More
1"
KPP Pratama Jakarta Menteng Dua,25,"Asmari 5
1 review
2 months ago



(Translated by Google) The building is very comfortable and clean, the service is very good, polite and very satisfying …More
Like"
KPP Pratama Jakarta Menteng Dua,26,"Yoanda Suastanti
2 reviews
2 months ago



(Translated by Google) The service is friendly, the estimate is spacious, the building is clean. …More
1"
KPP Pratama Jakarta Menteng Dua,27,"Risman Jabrik
1 review
2 months ago



(Translated by Google) Best. Service and service in this office. Best. Unbelievably good. Satisfying …More
Like"
KPP Pratama Jakarta Menteng Dua,28,"Hafidz Syamaidzar
1 review
5 months ago



(Translated by Google) Comfortable waiting room, spacious parking, fast, steady service, very helpful …More
Like"
KPP Pratama Jakarta Menteng Dua,29,"Nur Ifansyah
Local Guide·114 reviews·970 photos
5 years ago



(Translated by Google) The officers are friendly, the office is cool, queuing for quite a while according to arrival. Large parking area, only stairs to the main lobby. There is free internet access and a library for taxpayers. …More
Like"
KPP Pratama Jakarta Menteng Dua,30,"irwan hybram
1 review
2 months ago



(Translated by Google) friendly and good service, cleanliness is well maintained. …More
Like"
KPP Pratama Jakarta Menteng Dua,31,"Lusyanti Marlia
1 review
2 months ago



(Translated by Google) The service is good and friendly, the facilities are also adequate …More
Like"
KPP Pratama Jakarta Menteng Dua,33,"Mega Imee
1 review
5 months ago



(Translated by Google) The office is cool, the service is the best, the wifi is fast, the staff are friendly and all good …More
Like"
KPP Pratama Jakarta Menteng Dua,34,"hany muany
7 reviews·8 photos
2 months ago



(Translated by Google) Good service, the building is very clean and tidy

(Original) …More
Like"
