kpp,id,review
KPP Pratama Jakarta Pademangan,0,"Siswanto Kopral
Local Guide·19 reviews
8 months ago
Ok
1"
KPP Pratama Jakarta Pademangan,1,"Rollyn Steve
Local Guide·50 reviews·1 photo
2 years ago
Ok
Like"
KPP Pratama Jakarta Pademangan,2,"Yutjin Lim
Local Guide·377 reviews·1,471 photos
2 years ago
Ok
Like"
KPP Pratama Jakarta Pademangan,3,"ryuken vino
3 reviews·1 photo
6 years ago
Taxes north jakarta
Like"
KPP Pratama Jakarta Pademangan,4,"Calvin Yuwono
Local Guide·240 reviews·3,421 photos
5 years ago
Pay your tax
Like"
KPP Pratama Jakarta Pademangan,5,"YUNI WULANDARI
1 review
3 months ago



(Translated by Google) The receptionist is so beautiful, not friendly, the people are even judged. Please, the lady who is friendly with the customer. I PAY TAX ALSO FOR YOUR SALARY BUT YOU ARE EVEN RUDE WITH CUSTOMER ETITUD MBA NUMBER …More
1"
KPP Pratama Jakarta Pademangan,6,"Yungki Hendrata
2 reviews·1 photo
7 months ago



(Translated by Google) The tax people on the 2nd floor are friendly ""all of them. It's just the security guards and guards who make it difficult for people. You have to ask to register online via the application, even though I've been given …More
Like"
KPP Pratama Jakarta Pademangan,7,"Asmani Rohani
1 review
4 months ago



(Translated by Google) The receptionist is not friendly, wants to pay taxes, it's difficult for me to pay taxes to pay your salary …More
4"
KPP Pratama Jakarta Pademangan,8,"Mutiara Handayani
1 review
3 months ago



(Translated by Google) good service, very friendly staff

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,9,"Bagus Pribadi
3 reviews·1 photo
4 months ago



(Translated by Google) Very bad service and complicated

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,11,"nziie fauzi
Local Guide·64 reviews·38 photos
2 years ago



(Translated by Google) Security friendly ... parking limited

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,12,"Wahyu Hidayat
2 reviews
a week ago
NEW
(Translated by Google) The staff is friendly

(Original)
Pegawainya ramah
Like"
KPP Pratama Jakarta Pademangan,13,"vincencius28
1 review
5 years ago











(Translated by Google) Very slow service, unproductive queue numbers for just 10 people made me wait almost 2 hours more. Staff pacing back and forth in the middle of operational hours instead of effectively serving the queue …More
3"
KPP Pratama Jakarta Pademangan,14,"Hana Nf
Local Guide·21 reviews·1 photo
a year ago



(Translated by Google) Very bad service. Just take the letter. Even though it was finished yesterday, I will come again the next day, waiting for 2 hours. …More
Like"
KPP Pratama Jakarta Pademangan,15,"Ade Sofyan
Local Guide·68 reviews·327 photos
3 years ago



(Translated by Google) Old service. Have taken the queue to get efin and wait 1 hour but not called. It turned out that for efin service on the 6th floor and there was no information regarding this. …More
4"
KPP Pratama Jakarta Pademangan,16,"Sinta Ariefiani
1 review·1 photo
5 years ago



(Translated by Google) The service is very slow ... !!! Maybe because the servant is still trainning all the time .. the waiting chairs are full. The air conditioner isn't cold either. Please improve the service and convenience !!? …More
3"
KPP Pratama Jakarta Pademangan,17,"Abhirama Kresna
1 review
3 years ago





(Translated by Google) No telephone need to be installed free of charge, 2 consecutive days are contacted, not picked up ... the officers don't exist.
Your responsibility for service …More
5"
KPP Pratama Jakarta Pademangan,18,"Ricke Choirunnisa Yan'as
Local Guide·147 reviews·28 photos
4 years ago





(Translated by Google) The place is a big tree, so it's hard to see if from the road.
The dialogue is very long, sometimes it only opens 3 counters even though it's a …More
Like"
KPP Pratama Jakarta Pademangan,19,"Rizal lubas
Local Guide·38 reviews·30 photos
6 years ago



(Translated by Google) Service is very slow, please improve it again because many are queuing but the staff is lacking …More
1"
KPP Pratama Jakarta Pademangan,20,"John Tri Edy s
Local Guide·951 reviews·834 photos
3 years ago



(Translated by Google) Clean and not too crowded

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,22,"Adnan Dzakiandra Shidqi
1 review
9 months ago



(Translated by Google) Unfriendly receptionist, old service

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,23,"Ben Cotto
Local Guide·188 reviews·576 photos
3 years ago



(Translated by Google) Don't pay taxes, what does the world say....

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,24,"Rieko Dinata
2 reviews
3 years ago



(Translated by Google) Many Super Long Service Counters But Only 2 Personnel Service Officers …More
2"
KPP Pratama Jakarta Pademangan,25,"Aditya Surya
3 reviews·7 photos
3 years ago



(Translated by Google) For efin services at lt. 6. Fast service does not wait too long …More
Like"
KPP Pratama Jakarta Pademangan,26,"Semarang On fire
6 reviews
2 years ago



(Translated by Google) The KPP is small, bigger than the market next to it

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,27,"Elisabeth Anggia
Local Guide·45 reviews·107 photos
5 years ago



(Translated by Google) The service is friendly, fast, and no extortion. Able to make NPWP online or offline. …More
Like"
KPP Pratama Jakarta Pademangan,28,"Fajar Fadilah
1 review
2 years ago



(Translated by Google) Free parking, friendly service, all services are free of charge …More
1"
KPP Pratama Jakarta Pademangan,29,"Suryaningsih Nababan
Local Guide·50 reviews·2 photos
a year ago



(Translated by Google) Very good environmental cleanliness

(Original) …More
Like"
KPP Pratama Jakarta Pademangan,30,"Asrori Virgo
Local Guide·155 reviews·279 photos
a year ago



(Translated by Google) For those who drive a motorbike through the side door

(Original) …More
Like"
