kpp,id,review
KPP Pratama Jakarta Palmerah,0,"Daffa Izzat
Local Guide·330 reviews·535 photos
3 years ago
Business Development Service
Like"
KPP Pratama Jakarta Palmerah,1,"Ami Sarah
Local Guide·81 reviews·558 photos
2 years ago
Good
Like"
KPP Pratama Jakarta Palmerah,2,"Abe Lie
Local Guide·236 reviews·1,610 photos
5 years ago
Slow service.
1"
KPP Pratama Jakarta Palmerah,3,"DJIWA TOEN MOEDA
Local Guide·228 reviews·989 photos
a year ago



(Translated by Google) This KPP waiter is friendly. Taxes are not as scary as they are in our minds. DGT has changed drastically. The facilities provided are also complete, wifi, prayer room, toilet, and print. First, enter and then …More
Like"
KPP Pratama Jakarta Palmerah,4,"Zul Vikram
Local Guide·315 reviews·1,869 photos
2 years ago











(Translated by Google) - The HELP DESK service is very responsive.
- Room cleanliness is okay. …More
Like"
KPP Pratama Jakarta Palmerah,5,"Muhamad Bilal
Local Guide·71 reviews·23 photos
a year ago



(Translated by Google) Want to make a NPWP, register online complicated upload problems, do not know directly open or what files are needed, call, GA THERE ARE YG LIFTING already a week. Please help, the tax is state income. …More
4"
KPP Pratama Jakarta Palmerah,6,"Alifia Zahra (aza)
Local Guide·22 reviews·16 photos
a year ago







(Translated by Google) Large parking area, friendly to people with disabilities, obeying social distancing. …More
Like"
KPP Pratama Jakarta Palmerah,7,"Erika Sandra
5 reviews
5 months ago



(Translated by Google) The service is very good, perfecto

(Original) …More
Like"
KPP Pratama Jakarta Palmerah,8,"Mayank Hermawan
5 reviews·1 photo
5 years ago



(Translated by Google) His sister who is locker number 1 is not suitable to be a customer service, yes, people ask, he said 'I want to say what her mother said'. I was thrown to 3 kpp a day and the answers were different. Want to pay taxes …More
9"
KPP Pratama Jakarta Palmerah,9,"Rendi Pattisahusiwa
Local Guide·7 reviews·4 photos
5 days ago
NEW
(Translated by Google) Fast service

(Original)
Layanan cepat
Like"
KPP Pratama Jakarta Palmerah,11,"Absolut Arts
2 reviews·2 photos
5 years ago



(Translated by Google) Relatively quiet the queue compared to Grogol Tax Office next door. But the Help Desk is very dirty ... Luckily my Account Representative is very friendly. …More
Like"
KPP Pratama Jakarta Palmerah,12,"Damay Yanti
5 reviews
3 years ago



(Translated by Google) Often very offline, 2 days straight, we are still offline, but still not, but don't improve, don't like going offline so that people don't use it and get it right as well as what needs to be taken care of. …More
4"
KPP Pratama Jakarta Palmerah,13,"setohohoh
19 reviews
a year ago



(Translated by Google) The service is really great, makes npwp fast

(Original) …More
Like"
KPP Pratama Jakarta Palmerah,14,"NYS Mua
3 reviews·11 photos
4 years ago





(Translated by Google) I have never been picked up, why?
Want to pay taxes just to bother please deh. …More
5"
KPP Pratama Jakarta Palmerah,15,"Sams Sams Reinhard
Local Guide·530 reviews·2,472 photos
5 years ago



(Translated by Google) To be successful, even though ... Maybe I'm not afraid of all taxes …More
Like"
KPP Pratama Jakarta Palmerah,16,"mohamad rizal
1 review
5 years ago



(Translated by Google) Her office located ,, fast and friendly services as well. I like it. …More
2"
KPP Pratama Jakarta Palmerah,17,"ali hakim
Local Guide·86 reviews·241 photos
6 years ago



(Translated by Google) It's a shame ... Starting next month we will move to KPP Senayan at Patra Jasa …More
Like"
KPP Pratama Jakarta Palmerah,18,"Yayu Zuper
Local Guide·6 reviews·5 photos
a year ago



(Translated by Google) Poor service, slow, long

(Original) …More
Like"
KPP Pratama Jakarta Palmerah,19,"Aminah Jkt
1 review
5 years ago



(Translated by Google) Because this road I like, why I like it because this road misses me with my grandmother …More
Like"
