kpp,id,review
KPP Pratama Jakarta Pancoran,0,"fhalevi reza
2 reviews
3 months ago
Better than the others. Go djp
1"
KPP Pratama Jakarta Pancoran,1,"Suryadi Hertanto
Local Guide·2,386 reviews·18,424 photos
4 years ago
Must be patient just to queuing for e-filling registration, must wait for the officer standby.
Like"
KPP Pratama Jakarta Pancoran,2,"Harry Dhillon
2 reviews
3 months ago
Very helpful support team.
1"
KPP Pratama Jakarta Pancoran,3,"Winda Lubis
1 review·5 photos
3 months ago
Keep up the good work
Like"
KPP Pratama Jakarta Pancoran,4,"sulis tyono
Local Guide·24 reviews·75 photos
3 months ago
Nice, wellcome, and excellent
Like"
KPP Pratama Jakarta Pancoran,5,"Dedi Prianto
1 review
3 months ago
Good job and satisfy
Like"
KPP Pratama Jakarta Pancoran,6,"Sisca Sasmita
2 reviews·2 photos
3 months ago
Gooodddd
Like"
KPP Pratama Jakarta Pancoran,7,"Agung Dwi
1 review
3 months ago
good
Like"
KPP Pratama Jakarta Pancoran,8,"Subtro Pria
Local Guide·27 reviews·5 photos
3 years ago
Excelent
Like"
KPP Pratama Jakarta Pancoran,9,"Sabdo Hariyanto
1 review·2 photos
3 weeks ago
NEW



(Translated by Google) Mr. Scty is friendly, I asked questions and answered my problems. I was directed to register via online, the staff was very helpful. I want to take care of my NPWP, which is not active, KPP Salatiga branch here. At …More
Like"
KPP Pratama Jakarta Pancoran,11,"05. Amrul Raihan
1 review·5 photos
3 months ago



(Translated by Google) Taking care of the SPT is fast, the staff is very friendly and makes it easy. Thank you KPP Pratama Jakarta Pancoran officers. …More
2"
KPP Pratama Jakarta Pancoran,12,"Syofwan Alauddin Ridho
1 review·1 photo
3 months ago



(Translated by Google) KPP Pratama Pancoran where I became a tax volunteer this year. Her sister is friendly, kind and very fun. Besides that, it is a place where I can add my experience and knowledge. Moreover, the knowledge that I get can …More
Like"
KPP Pratama Jakarta Pancoran,13,"Iskandar Zulkarnain
23 reviews·286 photos
3 months ago



(Translated by Google) The office is nice. Friendly staff, including security, very helpful. There are many innovations that make it easier for taxpayers. I hope it gets better in the future.. …More
Like"
KPP Pratama Jakarta Pancoran,14,"RAGIL PRASSETYA
3 reviews·5 photos
3 months ago



(Translated by Google) Friendly and comfortable. Free parking. Before entering, I was asked where the KPP branch was so that it wouldn't be the wrong branch. …More
Like"
KPP Pratama Jakarta Pancoran,15,"ani martini
1 review
a month ago
Pelayanan yg sangat baik,terutama sfaff yg membantu memberikan penjelasan dgn sangat jelas.semoga selalu memberikan pelayanan terbaik bagi masyarakat.
Like"
KPP Pratama Jakarta Pancoran,16,"Fikri Amali
1 review
3 months ago



(Translated by Google) The officers are good, friendly, detailed, not in a hurry to serve. The work is completed quickly in a short time, with the service giving the impression of being satisfied for WP …More
Like"
KPP Pratama Jakarta Pancoran,17,"Arya Bagus Wibowo
1 review
3 months ago











(Translated by Google) The service was very good, starting from the front of the KPP gate, you were greeted with a friendly smile from the security guard. Then delivered to the helpdesk and TPT. The helpdesk and TPT are served in a friendly …More
5"
KPP Pratama Jakarta Pancoran,18,"Indira Andriani
2 reviews
3 months ago



(Translated by Google) I take care of the Annual SPT in Duren Tiga Village, the service is very satisfying. I was helped patiently until the report was finished. Thank you to the staff on duty there, especially Ms. Devi 🙏 …More
Like"
KPP Pratama Jakarta Pancoran,19,"Meidy Romony
1 review·1 photo
3 months ago



(Translated by Google) Kpp Pancoran is a place where I volunteer more or less later until the next 4 months will devote myself here to serving Pancoran residents starting from filling out the SPT and later there will be other tasks from the …More
1"
KPP Pratama Jakarta Pancoran,20,"zazabask
1 review
3 months ago



(Translated by Google) The experience of taking care of NPWP and efin at KPP Pratama Jakarta Pancoran, the service is really excellent. Thank you in particular to the Pancoran KPP officer named Mas Adrian Tri Pamungkas, really 5 stars …More
Like"
KPP Pratama Jakarta Pancoran,22,"Zenah Umar
1 review
3 months ago









(Translated by Google) Very helpful with the performance of KPP Pancoran
The service is friendly, easy to contact to ask questions, and help us report the corporate tax return via online …More
1"
KPP Pratama Jakarta Pancoran,23,"bendahara bpsdm
1 review
3 months ago



(Translated by Google) Thank you to Mr. Ardian Yudha, Mr. Alexander Dicky Antonio and Mr. Fadila Aris Kuswara who have helped so far, for being patient in answering our questions. always healthy dad …More
5"
KPP Pratama Jakarta Pancoran,24,"leani mamonto
2 reviews
3 months ago



(Translated by Google) Bismillahirrohmanirrohiim, thank God the help of Mbak Tryssi and Mas Ardi was extraordinary. Hopefully, KPP Pratama Pancoran will always be in front and as an example of the best service to the community, especially …More
Like"
KPP Pratama Jakarta Pancoran,25,"Brina d'Arc
2 reviews·1 photo
3 months ago



(Translated by Google) The service is very friendly, thank you to Mba Dian Mardiyanti who was very patient in helping me report my annual tax return. Hope you are always healthy 👍🏻 …More
Like"
KPP Pratama Jakarta Pancoran,26,"02_Adriel Ivan Firmansyah
1 review
3 months ago



(Translated by Google) The attitude of the officers is good, friendly, detailed, not in a hurry to serve. The work is completed quickly in a short time, with the service giving the impression of being satisfied for WP …More
Like"
KPP Pratama Jakarta Pancoran,27,"Reza Widodo
4 reviews
3 months ago



(Translated by Google) Super great and friendly express service..Alhamdulillah, it was made easy after trying 3 hours of dirmh without success.. thank you mba Anissa. Keep it up with good work. Barakallohu. …More
1"
KPP Pratama Jakarta Pancoran,28,"Juliarto Eka Putra
1 review
3 months ago









(Translated by Google) Thank God, ABE has been patiently helped
I hope all goes well...
Stay healthy everyone …More
1"
KPP Pratama Jakarta Pancoran,29,"Hendra Gunawan
2 reviews
3 months ago



(Translated by Google) The NPWP card printing process is very fast, Came with an online tax card + ID card, in 30 minutes then you already have an NPWP card, even though it's not your original domicile area, excellent service is obtained at …More
Like"
KPP Pratama Jakarta Pancoran,30,"Agam Tuh Edi Sugandi
1 review
3 months ago







(Translated by Google) Alhamdulillah... My tax reporting was greatly helped by the team on duty..
Friendly service, uncomplicated and quickly completed. …More
Like"
KPP Pratama Jakarta Pancoran,31,"The Creator
Local Guide·46 reviews
3 months ago



(Translated by Google) Last year, I tried it myself and got an error, this time I got help because someone was there to help me fill it out.. The process was also fast.. It didn't take up to 15 minutes.. Thank you …More
2"
KPP Pratama Jakarta Pancoran,33,"Prima
1 review
3 months ago





(Translated by Google) the staff who help is very patient🙏 thank you mb Ina
but the internet system likes to go down so it makes the process slow... hopefully in the future it will be better …More
Like"
KPP Pratama Jakarta Pancoran,34,"Ade Refi Ariansih
2 reviews
3 months ago



(Translated by Google) The service is good, from the very helpful security guard to the service, it's fun because there are often tax classes and discussions that make webminars not boring. …More
1"
KPP Pratama Jakarta Pancoran,35,"yudha trixus
1 review
3 months ago



(Translated by Google) Really helpful, friendly service + fast response if the current term is one set, the winner is the main thing, thanks to KPP Pratama Jakarta Pancoran 👍🏽👍🏽👍🏽 …More
1"
KPP Pratama Jakarta Pancoran,36,"Tha MiNa
1 review
3 months ago



(Translated by Google) The service is super good from the beginning until the process is finished, the assistance is good and friendly …More
Like"
KPP Pratama Jakarta Pancoran,37,"Salman Amin
Local Guide·18 reviews·16 photos
3 months ago



(Translated by Google) Good service and very helpful, thank you🙏

(Original) …More
Like"
KPP Pratama Jakarta Pancoran,38,"Iis Selvia
1 review
3 months ago



(Translated by Google) Thank God, tax reporting is assisted by friendly officers and not long queues. Annual tax reporting made easy, thank you KPP Pratama Jakarta Pancoran team🙏☺️ …More
1"
KPP Pratama Jakarta Pancoran,39,"Gilang Bayu Saputra
1 review
3 months ago



(Translated by Google) The staff is very responsive, I was helped to report the SPT until it was finished. Cool and Great👍🏻Thank you. …More
Like"
KPP Pratama Jakarta Pancoran,40,"Ade Fani
1 review
3 months ago







(Translated by Google) The service is very good
Thank you very much Ms. Dian for the help
Good luck for the future …More
Like"
