kpp,id,review
KPP Pratama Jakarta Pasar Minggu,0,"mila fauziah
Local Guide·378 reviews·6,927 photos
7 months ago
Good service, good Help Desk service.  free parking fee.  Overall Ok.
2"
KPP Pratama Jakarta Pasar Minggu,1,"San Jaya
Local Guide·19 reviews·55 photos
2 months ago
Tax Office Branch of Pasar Minggu located in TB. Simatupang Street. Available parking area, toilet, and ATM from Bank Mandiri. Correct Me If I'm Wrong, Thank you..
2"
KPP Pratama Jakarta Pasar Minggu,2,"Noviyanti Mandasari
Local Guide·10 reviews·50 photos
a year ago
Glad to be able to take part in tax volunteering at this KPP. The employees are friendly and the service is sooo good 👍🏻
Like
Response from the ownera year ago
Thank you so much 😊🙏"
KPP Pratama Jakarta Pasar Minggu,3,"Marcelia Setiawan
Local Guide·179 reviews·189 photos
a year ago
From the second I drove in to the office, I only experienced a very excellent services. All staff are so helpful. They approach customers and offer services and assistance. No time for customers to feel lost! So satisfying! Thank you for the excellent services! 👍👍👍👍👍
Like"
KPP Pratama Jakarta Pasar Minggu,4,"Rike Bewinda
Local Guide·147 reviews·473 photos
2 years ago
I came here yesterday to get my EFIN but they still close, so i ask the security staff. He was very helpful and friendly. Thank you for your information.
Like
Response from the owner2 years ago
You're welcome ma'am. Thanks for your review."
KPP Pratama Jakarta Pasar Minggu,5,"Satrio Pratomo
3 reviews
2 years ago
I Received excellent services n fast response from the Officer Tyagita.  Very passion resourcefull thanks alot for the KPP Pratama Pasarminggu.
Like
Response from the owner2 years ago
You're welcome, Sir 🙏🏻"
KPP Pratama Jakarta Pasar Minggu,6,"bayu wahyuadi
Local Guide·14 reviews
5 years ago
I expected to wait long in line for EFIN. Pleasantly surprised when it actually took 15 minutes there. Maybe i just got lucky but overall a good experience.
2"
KPP Pratama Jakarta Pasar Minggu,7,"Ibaturrahmah
6 reviews·3 photos
2 years ago
I called a view moment ago. CS created bad impression at first time. No smiling voice during the call.
1
Response from the owner3 years ago
(Translated by Google) Good morning, Mrs. Iba Turrahman, sorry for the inconvenience. Can you please inform us what time you called and who is the officer serving you so that it can be an improvement for us. Thank you 🙏 …More"
KPP Pratama Jakarta Pasar Minggu,8,"mas_jaya_tea jaya
1 review
a month ago
nice services
Like"
KPP Pratama Jakarta Pasar Minggu,9,"intannia istifarah
1 review
3 years ago
nicee
1"
KPP Pratama Jakarta Pasar Minggu,11,"Didi suprapto
Local Guide·228 reviews·36 photos
6 years ago
Drop off
Like"
KPP Pratama Jakarta Pasar Minggu,12,"Muchamad Iqbal Arief
Local Guide·266 reviews·2,163 photos
5 years ago
there is usually queue
1"
KPP Pratama Jakarta Pasar Minggu,13,"Indra Laksono
Local Guide·21 reviews
2 years ago
Ok
Like"
KPP Pratama Jakarta Pasar Minggu,14,"Andana Putri Larashati
Local Guide·47 reviews·237 photos
4 years ago
Ok
Like"
KPP Pratama Jakarta Pasar Minggu,15,"Syader Rever
Local Guide·34 reviews·2 photos
2 years ago
Bad . speechless
Like"
KPP Pratama Jakarta Pasar Minggu,16,"Pria Jenaka
Local Guide·526 reviews·276 photos
a month ago



(Translated by Google) Direct service can and fast + satisfying euy... Spacious parking area... Location is easy to find …More
1"
KPP Pratama Jakarta Pasar Minggu,17,"Frendy Lumban Batu
Local Guide·71 reviews·86 photos
3 months ago

















(Translated by Google) 4 stars because of the drawbacks.
Free parking
Friendly front desk agent …More
4
Response from the owner3 months ago
(Translated by Google) Thank you for the review and input, sir, we will improve our performance again. 🙏🏻 …More"
KPP Pratama Jakarta Pasar Minggu,18,"Thio Prima Ariesta
2 reviews·2 photos
2 weeks ago
NEW



(Translated by Google) the security service in the waiting room is not friendly, and the counter 2 or B the mothers are not friendly …More
Like"
KPP Pratama Jakarta Pasar Minggu,19,"Ditya Prasetya Dewa
6 reviews·39 photos
3 months ago



(Translated by Google) the clearest tax office, I have cb come to tkp, they say everything is full online. but when I took care of it online the answer was very unresponsive, it didn't really solve the problem, the information provided was …More
1"
KPP Pratama Jakarta Pasar Minggu,20,"Bang Cin
1 review
3 months ago



(Translated by Google) Congratulations MLM, sir. TIN physical card has not yet been sent, registered for 1 month, in the name of Abdul Aziz, Jl Kavling DKI no: 51 Jagakarsa …More
1
Response from the owner3 months ago
(Translated by Google) Good evening, Mr. Bang Cin. Is your TIN registered at KPP Pratama Jakarta Pasar Minggu or KPP Pratama Jakarta Jagakarsa? If more than 30 days have not received the NPWP card, please reprint the NPWP card to the …More"
KPP Pratama Jakarta Pasar Minggu,22,"Lara Jaya
1 review
2 months ago



(Translated by Google) The services and information provided especially in the supervision section are very satisfactory; even the explanation and delivery method carried out by a head of the leadership section in the supervision section IV …More
Like"
