kpp,id,review
KPP Pratama Jakarta Pasar Rebo,0,"jualice ammar
1 review
4 months ago
This servise very good 🙏👍
1"
KPP Pratama Jakarta Pasar Rebo,1,"Aspire
Local Guide·230 reviews·1,124 photos
4 years ago
Good place. Government Office with lots of tree and large parking area.
Office hours: 08.00 - 16.00
1"
KPP Pratama Jakarta Pasar Rebo,2,"Danu Arvanto
1 review
4 months ago
Nice
1"
KPP Pratama Jakarta Pasar Rebo,3,"yusuf baginda
2 reviews
9 months ago
Awesome services!
Like"
KPP Pratama Jakarta Pasar Rebo,4,"Reza Ranzhani
Local Guide·179 reviews·59 photos
5 years ago
Doctors are usually late herr
Like"
KPP Pratama Jakarta Pasar Rebo,5,"rendy tigana
6 reviews
5 years ago
Tax payer need to go here
Like"
KPP Pratama Jakarta Pasar Rebo,6,"Eben St.
Local Guide·28 reviews·4 photos
6 years ago
Tax service very busy.
Like"
KPP Pratama Jakarta Pasar Rebo,7,"Eris Pristiawan
Local Guide·25 reviews·5 photos
2 years ago
Top
Like"
KPP Pratama Jakarta Pasar Rebo,8,"Munandar Pawiloi
Local Guide·334 reviews·10 photos
5 years ago
Ok
Like"
KPP Pratama Jakarta Pasar Rebo,9,"vanny
Local Guide·368 reviews·62 photos
3 years ago
Good
Like"
KPP Pratama Jakarta Pasar Rebo,11,"elfrida hutapea
Local Guide·30 reviews·72 photos
4 years ago
Good
Like"
KPP Pratama Jakarta Pasar Rebo,12,"Dedi Supriyadi Official
Local Guide·43 reviews·23 photos
3 years ago
Good governance
1"
KPP Pratama Jakarta Pasar Rebo,13,"mega rahmatika
1 review·1 photo
3 months ago



(Translated by Google) it's normal if the service is a bit long., the problem is that the office is busy. but thank God it's served well. hopefully the department can make it easier to take care of NPWP and want to pay money …More
Like"
KPP Pratama Jakarta Pasar Rebo,14,"ginandgwen
10 reviews
3 weeks ago
NEW



(Translated by Google) Want to take care of PKP. He said at counter 1. Counter is empty. Expectations are immediately called donk. Eh, I know the officer is sleeping at his desk. Alright, let's just wait. Finally got up and went to wash my …More
Like"
KPP Pratama Jakarta Pasar Rebo,15,"baginda raja
4 reviews
3 months ago













(Translated by Google) Printing npwp card + efin activation completed, didn't arrive 30 minutes from arrival. Faster than asking via email/wa :) …More
Like"
KPP Pratama Jakarta Pasar Rebo,16,"Yonathan Pk
16 reviews·92 photos
5 months ago



(Translated by Google) I want to print an individual PT NPWP when the PPKM lvl 3 office is closed. Assisted by security men who are a bit bald and tall, Alhamdulillah, both friendly and no extortion, Alhamdulillah, they were directed and …More
Like"
KPP Pratama Jakarta Pasar Rebo,17,"topan firdaus
1 review·1 photo
4 months ago



(Translated by Google) because the office doesn't have face-to-face service, so the service is switched to online. …More
Like"
KPP Pratama Jakarta Pasar Rebo,18,"Ade Putra
4 reviews
a week ago
NEW



(Translated by Google) There is no information from the beginning, I have been waiting in line for a long time at one counter, told to queue again at another counter, haduhh Indonesia …More
Like"
KPP Pratama Jakarta Pasar Rebo,19,"irfan nurmansyah
1 review·3 photos
a year ago









(Translated by Google) I see the security does not serve, not with an angry heart and continue with the customer,
I came here to activate EFIN, when I came directly to the security guard with a …More
26"
KPP Pratama Jakarta Pasar Rebo,20,"JANRI DAVID RONALD NAPITUPULU
1 review·1 photo
3 months ago

























(Translated by Google) I am personally very satisfied with the services of KPP Pratama Jakarta Pasar Rebo …More
5"
KPP Pratama Jakarta Pasar Rebo,22,"Ravelivando Chasiohellas Hasihollan Pandjaitan
1 review
3 months ago



(Translated by Google) The security service here is not good, aka full of emotion. Every time we ask a question is always answered in a high tone and not friendly. My business at that time was that I wanted to ask for the activation of the …More
4"
KPP Pratama Jakarta Pasar Rebo,23,"Julyas Gradha Putra
2 reviews·6 photos
4 months ago







(Translated by Google) For the TIN, the card will only be sent 14 months later (and even then, use an envelope with a window without a certificate and my data on the card is clearly displayed). I want to activate EFIN via the WA number …More
9"
KPP Pratama Jakarta Pasar Rebo,24,"Rizky Anggriawan Hutomo
Local Guide·24 reviews·3 photos
4 months ago



(Translated by Google) The office facilities are quite complete, the security officers are alert and friendly, the officers at the counter are quite helpful in helping taxpayers' problems, and no less important is the mosque has air …More
Like"
KPP Pratama Jakarta Pasar Rebo,25,"Radhen Sulthan Muhammad Faiz
3 reviews·1 photo
5 months ago



(Translated by Google) very bad, I came all the way there, just told wa to ask for efin's turn at wa, no reply!!!! and the worst thing is the security where the security should first say hello everywhere the security is the first to serve …More
6"
KPP Pratama Jakarta Pasar Rebo,26,"Zulfitra Ramadana
5 reviews·2 photos
4 months ago











(Translated by Google) The service conforms to government regulations,
all online
So you don't have to bother coming to his office. …More
Like"
KPP Pratama Jakarta Pasar Rebo,27,"Fathonah Siti Thoniek
4 reviews
2 months ago



(Translated by Google) April 26, 2022. How come the validation counter doesn't have an officer yet.... it's 13.29 wib. It's a long break …More
Like"
KPP Pratama Jakarta Pasar Rebo,28,"Arif Surya 81
1 review
2 months ago



(Translated by Google) good morning, please, the service, the phone is not picked up, the email has just been answered for 2 days, WA ticks 1, how is the service in the rebo market, how come there are many comments from mines from WP …More
1"
KPP Pratama Jakarta Pasar Rebo,29,"Wulan Rumate
Local Guide·46 reviews·110 photos
3 years ago



(Translated by Google) The location is easy to see from the highway. The place is quite clean, the officers are quite helpful, there are enough benches in the waiting room, the parking lot is quite large. It's easy to get queue numbers …More
Like"
KPP Pratama Jakarta Pasar Rebo,30,"Antonius Panel Sinaga
Local Guide·20 reviews·30 photos
3 years ago



(Translated by Google) To be honest, I was here for the first time because I wanted to make Efin for the Annual Tax Returns Online Report. The place is comfortable, simple but proportional to people who want to come report tax. There is …More
2"
KPP Pratama Jakarta Pasar Rebo,31,"Wiku Aji Saputro
4 reviews·1 photo
2 months ago



(Translated by Google) A large enough parking lot, a fairly shady garden, a comfortable canteen, a cool mosque, and a sports field in the backyard that can be used for sunbathing and getting ready (for those who need it...wkwkwk), btw..... …More
Like"
KPP Pratama Jakarta Pasar Rebo,33,"Mira Asmara
1 review
4 months ago



(Translated by Google) The pandemic has put everything online. Cool, the service was not closed! Just redirected to online. It's cool, you don't have to bother going there. This is what I want. Hehehe …More
1"
KPP Pratama Jakarta Pasar Rebo,34,"Kijul Junior
Local Guide·99 reviews·24 photos
4 months ago



(Translated by Google) The design of the public service space is modern and not rigid, already using technology for some of its services.. It's just that there is a lack of socialization to the community so people are a bit confused about …More
Like"
KPP Pratama Jakarta Pasar Rebo,35,"Eva Nurhayati
2 reviews
4 months ago



(Translated by Google) The service is good, it makes us who don't understand become enlightened and comfortable because it is explained in a friendly manner...good job KPP Pratama Jakarta Pasar Rebo...👍👍 …More
Like"
KPP Pratama Jakarta Pasar Rebo,36,"reza arifin
1 review
4 months ago



(Translated by Google) for taxpayers who want to make an npwp. now there is no need to come to the tax office.. just register online at ereg.pajak.go.id …More
Like"
KPP Pratama Jakarta Pasar Rebo,37,"Krezii As always
1 review
3 months ago



(Translated by Google) It's really hard to report like this. No reply on whatsapp, physical card hasn't been sent in a year. …More
1"
KPP Pratama Jakarta Pasar Rebo,38,"Arif Setiawan
3 reviews
3 months ago



(Translated by Google) The map opens the fasting month until 4 pm, I'm closed at 3, it's not clear to give info!!! …More
Like"
KPP Pratama Jakarta Pasar Rebo,39,"Muhamad Nurhuda
Local Guide·9 reviews·2 photos
3 months ago



(Translated by Google) Don't make a booking system if the ends are piled up with those who didn't book. Unfriendly service …More
Like"
KPP Pratama Jakarta Pasar Rebo,40,"Julie Khriss
Local Guide·201 reviews·1,474 photos
a year ago





(Translated by Google) O Allah, the service of Mr.Satpam Mr. Budi Cahyo, who is very patient in serving all WPs
Always given health and blessings in the afterlife, ok Sir …More
2"
KPP Pratama Jakarta Pasar Rebo,41,"syarip udin
1 review
7 months ago



(Translated by Google) For those who want to come to the KPP Pasar Rebo. Please take the online queue first. Visit. Pajak.go.id because if there is no ticket, the online queue cannot enter. …More
Like"
KPP Pratama Jakarta Pasar Rebo,42,"Dapur Asparagus
1 review
2 months ago



(Translated by Google) KPP with the widest page in Jkt. Security guard is nimble. The staff is friendly and responsive. …More
Like"
KPP Pratama Jakarta Pasar Rebo,44,"Ester Umboh
1 review
4 months ago



(Translated by Google) The service is OK, the employees are friendly. AR is good, success for KPP Pasar Rebo …More
1"
KPP Pratama Jakarta Pasar Rebo,45,"muhammad jordy
Local Guide·12 reviews·40 photos
2 years ago



(Translated by Google) The service is quite okay, although in the morning it is busy and the queue machine is broken causing delays. …More
Like"
