kpp,id,review
KPP Pratama Jakarta Penjaringan,0,"Angeline Basuki
Local Guide·268 reviews·108 photos
4 years ago
the building should be built lower to 3 stories since it is located inside historical site
4"
KPP Pratama Jakarta Penjaringan,1,"soleh sofyan
Local Guide·21 reviews·97 photos
2 years ago
Rim556 to ji4  i5gy km
Like"
KPP Pratama Jakarta Penjaringan,2,"Latifatul Khusnah
8 reviews·6 photos
9 months ago
Very helpful
Like"
KPP Pratama Jakarta Penjaringan,3,"takbir takbir
2 reviews
8 months ago





(Translated by Google) The security guard for the motorcycle parking is friendly but doesn't know much about filing, even though the document is the service admin's job. DANRU doesn't teach SOPs about security guard duties, right? Later, I …More
Like"
KPP Pratama Jakarta Penjaringan,4,"Bagus Sutomo
Local Guide·732 reviews·3,707 photos
4 years ago



(Translated by Google) Unique city tax report as well as Jakarta city tour, pretty decent parking ... okay service …More
1"
KPP Pratama Jakarta Penjaringan,5,"Dony Lubis
Local Guide·53 reviews·171 photos
9 months ago



(Translated by Google) The building style of the batavia era is very well maintained, and the chemistry of this building with the environment is very good, so it is very pleasing to the eye …More
Like"
KPP Pratama Jakarta Penjaringan,6,"Didik Yuwono
Local Guide·24 reviews·24 photos
9 months ago



(Translated by Google) I swear the service is very friendly, the security guard is fast and it's cool than in your own village …More
Like"
KPP Pratama Jakarta Penjaringan,7,"Haryo Dwi Saputro
Local Guide·383 reviews·926 photos
2 years ago



(Translated by Google) The Pratama Tax Office, Penjaringan, North Jakarta, is still close to the Jakarta Old Town area, west of BNI KCU Jakarta Kota. …More
Like"
KPP Pratama Jakarta Penjaringan,8,"Buas
Local Guide·298 reviews·3,320 photos
a year ago



(Translated by Google) this afternoon past time to Jakarta city station

(Original) …More
Like"
KPP Pratama Jakarta Penjaringan,9,"Hola Hola
Local Guide·366 reviews·120 photos
3 years ago



(Translated by Google) Okay ... the building is a meeting from the city station

(Original) …More
1"
KPP Pratama Jakarta Penjaringan,11,"adhitya dharma
Local Guide·83 reviews·44 photos
a year ago



(Translated by Google) The front guard is not clear, the lobby security is also unclear, the service is not at all friendly, the place to sit to wait is dirty and disgusting, the air conditioner is really hot, the service is BAD. …More
1"
KPP Pratama Jakarta Penjaringan,12,"John Trafenty
1 review
9 months ago



(Translated by Google) Yesterday I borrowed the toilet in this office, luckily I wasn't kicked out by the security guard …More
3"
KPP Pratama Jakarta Penjaringan,13,"rizal fathur rohman
2 reviews
2 years ago



(Translated by Google) Permission to ask, I am located in South Jakarta, where I am working in West Jakarta. Since there is no time to make NPWP in the area, is it possible to make it here. Tks …More
Like"
KPP Pratama Jakarta Penjaringan,14,"Emi Amel
2 reviews
3 years ago







(Translated by Google) just want to report the tax in trouble, try to help us improve the service, do not make lazy people to report taxes ... …More
2"
KPP Pratama Jakarta Penjaringan,15,"Victor Zebua
Local Guide·12 reviews·225 photos
a year ago
(Translated by Google) Fast and friendly service

(Original)
Pelayanan cepat dan ramah
Like"
KPP Pratama Jakarta Penjaringan,16,"Fether Abersond
Local Guide·94 reviews·933 photos
5 years ago



(Translated by Google) Very good and fast service! Good Job!

(Original) …More
Like"
KPP Pratama Jakarta Penjaringan,17,"Ornas Raditya
Local Guide·39 reviews·74 photos
5 years ago



(Translated by Google) The elevator is limited in capacity, great for those who like to sport up and down stairs. 4 out of 5 …More
Like"
KPP Pratama Jakarta Penjaringan,18,"Muhammad Wahyu Syahputra
Local Guide·135 reviews·323 photos
2 years ago



(Translated by Google) highrise building in a historical area? spoil the view from the front of the Jakarta historical museum when photographed …More
3"
KPP Pratama Jakarta Penjaringan,19,"Yuliandaru Jr
1,225 reviews·4,601 photos
3 years ago



(Translated by Google) The building is different from the others 😂

(Original) …More
Like"
