kpp,id,review
KPP Pratama Jakarta Pluit,0,"Dean Chen
Local Guide·217 reviews·2,313 photos
a year ago










No one will ever believe me when i say this.....that i just had one of the most pleasant experience ever going to a government tax office🤭. …More
9
Response from the owner4 months ago
(Translated by Google) Thank you for the review

(Original) …More"
KPP Pratama Jakarta Pluit,1,"T Hermanus
Local Guide·227 reviews·1,707 photos
2 years ago
The the service has improved so much. the place is clean and the stuffs are friendly as well
Keep up the good work guys.
1
Response from the owner4 months ago
(Translated by Google) Thank you for the review given.

(Original) …More"
KPP Pratama Jakarta Pluit,2,"Dhea Rachmadita
1 review
3 months ago
👍👍
1
Response from the owner3 months ago
(Translated by Google) Thank you for the review.

(Original) …More"
KPP Pratama Jakarta Pluit,3,"AMEL D
830 reviews·476 photos
4 years ago
😇😉😇😇😅😇😅
Like
Response from the owner4 months ago
(Translated by Google) Thank you for the review given.

(Original) …More"
KPP Pratama Jakarta Pluit,4,"Said Ardi
Local Guide·74 reviews·702 photos
6 months ago



(Translated by Google) The service room is nice and comfortable. There is also a separate consultation room that makes us feel safe and drinks and sweets are also available during the consultation. Always success KPP Pluit …More
Like
Response from the owner4 months ago
(Translated by Google) Thank you for the review

(Original) …More"
KPP Pratama Jakarta Pluit,5,"felicia lawadi
6 reviews·54 photos
5 months ago















(Translated by Google) Very fast, professional and detailed service. Must visit the tax office directly to get comprehensive information. Have come several times and always satisfied with the service. …More
Like
Response from the owner5 months ago
(Translated by Google) Thank you for the review.

(Original) …More"
KPP Pratama Jakarta Pluit,6,"Christopher Susanto
4 reviews·2 photos
3 months ago



(Translated by Google) Making efin since the 25th, until now on the 30th there is also no response, because making efin only takes a few hours, how great is the whistle, what are you doing when you sleep? …More
1
Response from the owner3 months ago
(Translated by Google) Sorry for the inconvenience 🙏. Thank you for your criticism and input, we will follow up for better service in the future. …More"
KPP Pratama Jakarta Pluit,7,"Alvin Chandra
1 review
a month ago









(Translated by Google) KPP with the worst service,
Insufficient Helpdesk knowledge …More
Like
Response from the ownera month ago
(Translated by Google) Sorry for the inconvenience 🙏. Thank you for your criticism and input, we will follow up for better service in the future. …More"
KPP Pratama Jakarta Pluit,8,"Alung Ng
Local Guide·185 reviews·2,100 photos
5 years ago



(Translated by Google) It's in front of the highway so it's easy to see. It closes at 4 but the queue number stops at 3:30 so those who are in a hurry can arrive early. …More
2
Response from the owner4 months ago
(Translated by Google) Thank you for the review given.

(Original) …More"
KPP Pratama Jakarta Pluit,9,"Sarana Legalitas
Local Guide·36 reviews·41 photos
3 years ago



(Translated by Google) Not that crowded. Comfortable taking care of the client company NPWP. Please contact if you want to apply for a PT NPWP or CV. …More
Like
Response from the owner4 months ago
(Translated by Google) Thank you for the review given.

(Original) …More"
