kpp,id,review
KPP Pratama Jakarta Pulogadung,0,"Dela
284 reviews·2,055 photos
2 years ago
The office was clean, the service was average. Some staffs are helpful, although there were some information they unsure to answer. By the way, I could not find any paper to write critic & suggestions and put it on their box.
1"
KPP Pratama Jakarta Pulogadung,1,"Inggita Notosusanto
Local Guide·579 reviews·64 photos
5 years ago
There are no clear signage where we should head to, and the temps they hired to give people directions were overwhelmed especially during the days approaching tax deadline. If you stumbled on the e-filing, please bring your own laptop and …More
2"
KPP Pratama Jakarta Pulogadung,2,"Diana Sari
454 reviews
5 years ago
The staff are very helpfull, they still serve even on lunch break although not all of them. They need to add more staff especially when it's crowded.
Like"
KPP Pratama Jakarta Pulogadung,3,"Ali Guntara
Local Guide·11 reviews
2 weeks ago
NEW
Ok
Like"
KPP Pratama Jakarta Pulogadung,4,"Yuda Tape
Local Guide·66 reviews·231 photos
a year ago
Ok
1"
KPP Pratama Jakarta Pulogadung,5,"M Hendri
Local Guide·583 reviews·1,275 photos
3 years ago
Good office with a great services.
Like"
KPP Pratama Jakarta Pulogadung,6,"Peppy Maulana
Local Guide·156 reviews·119 photos
5 years ago
Friendly and helpful staff
Like"
KPP Pratama Jakarta Pulogadung,7,"Rozie Amir
Local Guide·139 reviews·397 photos
2 years ago
Feeling good
Like"
KPP Pratama Jakarta Pulogadung,8,"Gibranalli Rachman
Local Guide·124 reviews·349 photos
3 years ago
Good service
Like"
KPP Pratama Jakarta Pulogadung,9,"obeth dp
Local Guide·42 reviews·108 photos
a week ago
NEW
Good
Like"
KPP Pratama Jakarta Pulogadung,11,"Sebtina dhian
9 reviews·32 photos
a week ago
NEW



(Translated by Google) the service is super friendly, the friendly explanation is very helpful. The direction from the entrance door is also very fast. Thank you, it was very helpful. At the Cakung KPP there was a problem, I couldn't help, …More
Like
Response from the ownera week ago
(Translated by Google) Thank you #KawanPajak. If you need further information regarding Consultation and/or tax matters, please follow our social media on Instagram/Twitter/Facebook/Youtube @Pajakpulogadung …More"
KPP Pratama Jakarta Pulogadung,12,"mentek opis
1 review·33 photos
3 months ago







(Translated by Google) Can you make no EFIN here?
The problem is that I have been to another tax office, but I can't
And what are the requirements, may I know? …More
Like"
KPP Pratama Jakarta Pulogadung,13,"Read Ofall
Local Guide·1,079 reviews·2,686 photos
3 years ago







(Translated by Google) Jakarta Pulo Gadung Tax Office

Clean, comfortable and easy to deliver, the staff are friendly and kind ... the …More
1"
KPP Pratama Jakarta Pulogadung,14,"Astika Dwi Wulandari
Local Guide·137 reviews·436 photos
2 years ago



(Translated by Google) Closer to Tj Scout Lia, strategically, there is a small mosque and separate, it's just that some workers lack smile …More
Like"
