kpp,id,review
KPP Pratama Jakarta Sawah Besar Dua,0,"ody dya
7 reviews
5 months ago
Good location, good service
Like"
KPP Pratama Jakarta Sawah Besar Dua,1,"pujiyanto suryana
1 review
3 months ago
Good service 👍
1"
KPP Pratama Jakarta Sawah Besar Dua,2,"Hari
Local Guide·373 reviews·792 photos
5 years ago
I am impressed.
The service officer are very nice.
The service management is very good.
Like"
KPP Pratama Jakarta Sawah Besar Dua,3,"Candra Gunawan
Local Guide·16 reviews·29 photos
4 years ago
Lol, have funny story at there
Like"
KPP Pratama Jakarta Sawah Besar Dua,4,"brandon donovan
1 review
5 months ago



(Translated by Google) Service very good. The tax administration is not complicated at all and people are very friendly. As long as I take care of taxes, either overpayments or administrative proceedings, all done professionally and …More
1"
KPP Pratama Jakarta Sawah Besar Dua,5,"Fidela Yulia Izzati Kawandana
1 review
4 months ago



(Translated by Google) The service is very impressive, the employees are friendly, the place is clean and cool ... great 👍👍 …More
2"
KPP Pratama Jakarta Sawah Besar Dua,6,"HARRY TRAVEL
1 review
3 months ago





(Translated by Google) the service & the people are very helpful and patient,
Keep spirit. Thank you …More
2"
KPP Pratama Jakarta Sawah Besar Dua,7,"manusia bodo
3 reviews
3 months ago



(Translated by Google) The service is very helpful for reporting, the father who helps is also friendly. Thank you always healthy …More
1"
KPP Pratama Jakarta Sawah Besar Dua,8,"Mochamad Arief Putra Perdana
Local Guide·67 reviews·102 photos
2 years ago



(Translated by Google) The place is clean and very comfortable, the officers are also very friendly when serving taxpayers. Maintain and improve it if possible. …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,9,"Denavana Palupi
1 review
4 months ago



(Translated by Google) Alhamdulillah, the tax audit management has been completed, even though you have to pay the tax shortfall, the examiner is very objective …More
2"
KPP Pratama Jakarta Sawah Besar Dua,11,"mimi mintuno
1 review
5 months ago





(Translated by Google) The service was amazing. Especially the examining officer who looks like a Korean.
Sarangheyo, oppa.. ❤ …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,12,"Ignatius Raymond
5 reviews
6 months ago



(Translated by Google) all the telephones, there was no response on the phone at all, wanted to confirm the letter was asked immediately so contacted there was no response, really tired. in the letter there is an AR number but on the phone …More
Like
Response from the owner4 months ago
(Translated by Google) Sorry for the inconvenience. Sorry for the last few months our office telephone number is in the process of being repaired due to technical problems. Currently our phone number is working fine again. If there is …More"
KPP Pratama Jakarta Sawah Besar Dua,13,"Wince 567
Local Guide·554 reviews·614 photos
2 years ago



(Translated by Google) It's getting better ... There are roads for people with disabilities ... There is a waiting room with drinking and coffee facilities ... Great …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,14,"hourlywonwoo
1 review
4 months ago



(Translated by Google) The atmosphere of the office is very pleasant, get clear information from the officers Okay, sip …More
1"
KPP Pratama Jakarta Sawah Besar Dua,15,"Shanty Tan
1 review
5 months ago



(Translated by Google) Good Service and all friendly staff, really TOP.

(Original) …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,16,"Husein Fagih
3 reviews
5 months ago



(Translated by Google) This is a great office. I really like being checked with PKR. The service is star . …More
1"
KPP Pratama Jakarta Sawah Besar Dua,17,"Rochman Iswandana
1 review
5 months ago



(Translated by Google) one of the best tax offices in Jakarta that I have visited …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,18,"Ahmad Kamal
6 reviews·2 photos
a year ago















(Translated by Google) too complicated
at the beginning, i already wa about the technicalities of returning the nsfp during the pandemic …More
1"
KPP Pratama Jakarta Sawah Besar Dua,19,"inyoman rantia
1 review
4 months ago



(Translated by Google) Fast service. The office is also very comfortable. Great👍 …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,20,"wiwi Purnomo
1 review
5 months ago



(Translated by Google) The services provided to taxpayers are very good.

(Original) …More
1"
KPP Pratama Jakarta Sawah Besar Dua,22,"Tobagus Manshor
Local Guide·52 reviews·163 photos
5 months ago



(Translated by Google) Except for the narrow parking space, this office is convenient for taxpayers. …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,23,"Maya sari Purwandani
2 reviews
5 months ago



(Translated by Google) Very cool service Kpp pratama jakarta big rice fields 👍👍👍 …More
1"
KPP Pratama Jakarta Sawah Besar Dua,24,"WIDI Y
6 reviews·7 photos
4 months ago



(Translated by Google) The service is good, but it's cool👍

(Original) …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,25,"Anton Haris
197 reviews
a month ago
(Translated by Google) Good n fast service

(Original)
Pelayanan baik n cepat
1"
KPP Pratama Jakarta Sawah Besar Dua,26,"Harini Sundari
1 review
9 months ago



(Translated by Google) It's funny that the place is comfortable, cool, there is a place for children to play, so I want to bring my children here there are drink facilities too.. …More
Like"
KPP Pratama Jakarta Sawah Besar Dua,27,"Jeon Wonwoo
1 review
4 months ago



(Translated by Google) Very strategic position the officers are very helpful

(Original) …More
1"
