kpp,id,review
KPP Pratama Jakarta Sawah Besar Satu,0,"Iwan K. Gunawan
Local Guide·160 reviews·684 photos
8 months ago
Easy queue services, yet for tax document requirements are still take time, hopefully will have more simplified services in the future.
Like
Response from the owner8 months ago
Thank you"
KPP Pratama Jakarta Sawah Besar Satu,1,"Dadang NH
Local Guide·105 reviews·170 photos
5 years ago
Good services,humble tax man. Hope government service can be better with Revolusi Mental
5
Response from the owner5 years ago
Thank you, we are glad to serve you"
KPP Pratama Jakarta Sawah Besar Satu,2,"DSS rent car kendari
212 reviews·191 photos
5 years ago
Good
Like
Response from the owner5 years ago
(Translated by Google) Thank you for your review and participation in building the country …More"
KPP Pratama Jakarta Sawah Besar Satu,3,"Suryo Prasetya
Local Guide·14 reviews·10 photos
2 years ago



(Translated by Google) The service received is very good, the place is clean, cold, there is a large aquarium that is very pleasing to the eye. Coffee and tea and sweets are provided for taxpayers. The best is 👍 …More
2"
KPP Pratama Jakarta Sawah Besar Satu,4,"Jonas Sunandar
11 reviews
a year ago



(Translated by Google) I took care of printing the NPWP card and making an EFIN for only 10 minutes. Very fast service. The person is friendly too. Cool! The government is growing, the spirit continues !! …More
Like
Response from the owner9 months ago
(Translated by Google) Thank you

(Original)
Terima kasih"
KPP Pratama Jakarta Sawah Besar Satu,5,"Andri Prawiro
1 review
7 months ago



(Translated by Google) Why is this when you don't pick up the phone, you can't go to counseling, you can't go to Waskon, you can't even the operator …More
Like
Response from the owner5 months ago
(Translated by Google) Sorry for the inconvenience bro. Brother can contact us via whatsapp chat at number 085763691955/081574163706 or please visit our Instagram at @pajakjktsawahbesarsatu for other contact information that can be …More"
KPP Pratama Jakarta Sawah Besar Satu,6,"Dewi Mettasari
Local Guide·61 reviews·19 photos
2 years ago











(Translated by Google) Now it's much more comfortable ...
Service area is spacious, clean and cold ...
More regular queues ... …More
Like
Response from the owner2 years ago
(Translated by Google) Thank you for the review, we will continue to improve our service :) …More"
KPP Pratama Jakarta Sawah Besar Satu,7,"Hariandi 02
1 review
6 months ago



(Translated by Google) BAD HELPDESCK SERVICE, MANY TIMES ON THE PHONE NO ANSWER. …More
1
Response from the owner5 months ago
(Translated by Google) Sorry for the inconvenience bro. Please visit our Instagram at @pajakjktsawahbesarsatu for other contact information that can be contacted. Thank You …More"
KPP Pratama Jakarta Sawah Besar Satu,8,"Fitri Mizwari
2 reviews
3 years ago



(Translated by Google) The name of the clerk, one of the bitchy, is asking for forgiveness, said the service office must serve well and kindly, we are there because there are problems with taxes and lack of understanding that they should …More
Like"
KPP Pratama Jakarta Sawah Besar Satu,9,"N'WAYAN SARI S
2 reviews·2 photos
4 years ago



(Translated by Google) Sy want to ask? Earlier I made the next week to send it by post to the address according to the ID ... But I can't stay, I already moved and I already blew it if I didn't stay in the realm on the ID but can't be sent …More
1
Response from the owner4 years ago
(Translated by Google) Sorry, Mrs. Wayan Sari, based on PER-20 / PJ / 2013, the NPWP card delivery must use the address registered in the Directorate General of Tax Information System. …More"
KPP Pratama Jakarta Sawah Besar Satu,11,"semut merah
1 review
2 years ago



(Translated by Google) Right here, now the waiting room is comfortable and spacious, if you want to consult with AR or the Tax Officer there is a very comfortable room, the AR is nice and friendly ... really comfortable .. …More
Like
Response from the owner2 years ago
(Translated by Google) Thank you for the review :)

(Original) …More"
KPP Pratama Jakarta Sawah Besar Satu,12,"leonidaz gp
8 reviews
5 years ago



(Translated by Google) I asked about registration npwp to ext 34 service when I asked for an explanation instead it was closed with the service person because today is closed, the service should not be so 09:06 today. the service was very …More
Like
Response from the owner5 years ago
(Translated by Google) Good morning Mr. Leonidaz, we inform you that indeed today the service at the office closes considering that today is a national holiday, so there are no officers on duty at the office. As for maybe the one who picked …More"
KPP Pratama Jakarta Sawah Besar Satu,13,"denny setiawan
1 review
5 years ago







(Translated by Google) I want to ask Sir / Madam, if my salary is 2.5, do I have to make a TIN ?, I am interested in saving at a bank while the bank asks for a TIN, but I do not have, do I have to make, please advise Mr. / Mrs. . …More
Like"
KPP Pratama Jakarta Sawah Besar Satu,14,"Indra Schiffer
11 reviews·2 photos
4 years ago



(Translated by Google) Do you want to ask me a plan to make a NPWP for working conditions, but my regional ID card, if you use a domicile statement, can you do it or not? …More
3"
KPP Pratama Jakarta Sawah Besar Satu,15,"hendrik Mintarno
Local Guide·152 reviews·152 photos
5 years ago



(Translated by Google) Good service. A clear transformation from my beginnings to this place where it's crowded and hot now has become cool and comfortable. …More
Like
Response from the owner5 years ago
(Translated by Google) Thank you for your review and participation in building the country …More"
KPP Pratama Jakarta Sawah Besar Satu,16,"Reza Ryan Anggawasita
12 reviews·1 photo
2 years ago



(Translated by Google) The counter waiting room is very comfortable, the clerk is very friendly in serving. Excellent …More
Like"
KPP Pratama Jakarta Sawah Besar Satu,17,"Black Mamba
4 reviews
11 months ago



(Translated by Google) worst service ever

(Original) …More
1
Response from the owner8 months ago
(Translated by Google) Sorry for the inconvenience

(Original) …More"
