kpp,id,review
KPP Pratama Jakarta Senen,0,"Mulia Bitcar
Local Guide·7 reviews·10 photos
2 years ago
Good service
Like"
KPP Pratama Jakarta Senen,1,"Willy Chandra
70 reviews·4 photos
4 years ago
Good service. Quick response and good results
Like"
KPP Pratama Jakarta Senen,2,"Slamet Riyanto
Local Guide·396 reviews·1,463 photos
5 years ago
nice
3"
KPP Pratama Jakarta Senen,3,"iskandar ray
Local Guide·776 reviews·1,825 photos
a year ago
Good
Like"
KPP Pratama Jakarta Senen,4,"Banu Qosim
1 review
4 years ago
good
Like"
KPP Pratama Jakarta Senen,5,"Vici Ayusrin
4 reviews·7 photos
5 months ago



(Translated by Google) Have the facilities and infrastructure needed by a tax service office. Fast and responsive service. Have service facilities with other channels such as WA, telephone, and email …More
3"
KPP Pratama Jakarta Senen,6,"RUT H. P. E.
Local Guide·65 reviews·205 photos
a year ago



(Translated by Google) It is not wrong that this KPP received an award ... Starting from the security guard, customer service (?) To the tax consulting department, all of them were very helpful and patient. In addition, it tries to ask the …More
Like"
KPP Pratama Jakarta Senen,7,"Ong Sammi
Local Guide·759 reviews·4,048 photos
11 months ago



(Translated by Google) The tax service office is to serve the administration of tax reporting and also conduct tax audits. The service is good. …More
Like"
KPP Pratama Jakarta Senen,8,"Dr. Theo
Local Guide·132 reviews·337 photos
3 years ago















(Translated by Google) The service of the officers is friendly and provides an easy-to-understand explanation.
Management of such reports, payment and registration of the executive board is …More
2"
KPP Pratama Jakarta Senen,9,"Dian Sutjahjono
Local Guide·844 reviews·2,015 photos
4 years ago



(Translated by Google) The service of KPP officers is now more truly helping taxpayers. The mind set has changed. Bravo bureaucratic reform, hopefully in the future it will get better. So that taxpayers become more comfortable and …More
1"
KPP Pratama Jakarta Senen,11,"FX Budi Widyatmoko
Local Guide·4,879 reviews·9,367 photos
4 years ago



(Translated by Google) Comfortable waiting room, there is a clear queue number, we know how many people are lining up. …More
1"
KPP Pratama Jakarta Senen,12,"Dnr 88
Local Guide·83 reviews·245 photos
4 years ago



(Translated by Google) Not too crowded. the atmosphere of the fast .. pay taxes too fast huh? …More
Like"
KPP Pratama Jakarta Senen,13,"obrolan aku & ayah
1 review
7 months ago



(Translated by Google) It's been better, both the service and the exelon.

(Original) …More
Like"
KPP Pratama Jakarta Senen,14,"wulan Wulan
2 reviews·1 photo
3 years ago



(Translated by Google) Tax service progress has been better than before, unfortunately the officers did not educate well, received inaccurate documents, as long as they received them and the taxpayers were forced to go back and forth …More
Like"
KPP Pratama Jakarta Senen,15,"unknown iren
2 reviews
4 years ago



(Translated by Google) the service is slow, can be queued from 9 am just called at half past 2 even though only waiting 20 queues. other times when there are more queues, at least open 3 services, so this is only 2, and that's not too fast. …More
Like"
KPP Pratama Jakarta Senen,16,"Mike Purnama
Local Guide·127 reviews·287 photos
7 months ago



(Translated by Google) Information for pubkik VERY CLOSED ! Exclusive KPP 👍

(Original) …More
Like"
KPP Pratama Jakarta Senen,17,"DJUNI Rak Besi siku
4 reviews·2 photos
5 years ago



(Translated by Google) Take care of moving books due to incorrect input of tax code numbers, very fast service, you can take up to 5 minutes. …More
2"
KPP Pratama Jakarta Senen,18,"Ahmad Yusup
7 reviews
4 years ago











(Translated by Google) The making of NPWP is now long. Almost three weeks ...
It's a shame that people pay taxes.
Back then Mah Cept …More
Like"
KPP Pratama Jakarta Senen,19,"NOOB GAMING
Local Guide·34 reviews·4 photos
3 years ago



(Translated by Google) The service of KPP officers is now more truly helping taxpayers. The mind set has changed. Bravo bureaucratic reform, hopefully in the future it will get better. So that taxpayers become more comfortable and …More
Like"
KPP Pratama Jakarta Senen,20,"Iku Niko
6 reviews·93 photos
3 years ago







(Translated by Google) So far the security is friendly...from outside and inside the building... …More
Like"
KPP Pratama Jakarta Senen,22,"CAT DUCO AANG
Local Guide·29 reviews·4,746 photos
a year ago



(Translated by Google) Alhmdllh when you enter, the security guard immediately greets him and serves him well …More
Like"
KPP Pratama Jakarta Senen,23,"Heri Sunandar
Local Guide·216 reviews·12 photos
3 years ago



(Translated by Google) Don't make it difficult for tax services, sir, so that ordinary people who want to pay taxes know …More
Like"
KPP Pratama Jakarta Senen,24,"jozz 86
Local Guide·97 reviews·166 photos
a year ago



(Translated by Google) Friendly staff and don't be afraid to come tax report

(Original) …More
Like"
KPP Pratama Jakarta Senen,25,"M Hadi Wijaya
2 reviews·1 photo
3 years ago



(Translated by Google) Make a personal NPWP just 1 hour immediately ... Alhamdulilla …More
Like"
KPP Pratama Jakarta Senen,26,"Margaretha Healthy
Local Guide·100 reviews·209 photos
a year ago



(Translated by Google) Fast and friendly service, nice place, very helpful staff. …More
Like"
KPP Pratama Jakarta Senen,27,"Anisa Andriyani
1 review
5 months ago
👍
Like"
KPP Pratama Jakarta Senen,28,"Mochammad Ridwan G.
Local Guide·163 reviews·533 photos
4 years ago



(Translated by Google) Break time still continues

(Original) …More
1"
KPP Pratama Jakarta Senen,29,"Edo zayn
Local Guide·45 reviews·90 photos
3 years ago
(Translated by Google) Take care of your body ID

(Original)
Ngurus npwp badan
Like"
KPP Pratama Jakarta Senen,30,"Afrilah Zulhakim
Local Guide·41 reviews·102 photos
3 years ago



(Translated by Google) Every problem is always assisted by the solution to complete the completion ..... …More
Like"
KPP Pratama Jakarta Senen,31,"arjen robben
6 reviews·6 photos
4 years ago



(Translated by Google) The best tax office I have ever visited with the best efiling service …More
Like"
KPP Pratama Jakarta Senen,33,"nurfiska sismiati
2 reviews
a year ago



(Translated by Google) Please for a more friendly service security guard

(Original) …More
Like"
