kpp,id,review
KPP Pratama Jakarta Setiabudi Dua,0,"Wiati Rahayu
2 reviews
3 months ago
your team are very helpfull...
ramah dan menyenangkan....
thank you so much..
keep this spirit...
1"
KPP Pratama Jakarta Setiabudi Dua,1,"Muhammad Rizqi
Local Guide·112 reviews·743 photos
3 years ago
Good building, nice hospitality, and neat queue management. Only spent around 30 minutes to consult my SPT reporting.
1"
KPP Pratama Jakarta Setiabudi Dua,2,"Ferdy Andika
1 review
3 months ago
the service is very good, the place is clean and tidy, and the people are friendly  
1"
KPP Pratama Jakarta Setiabudi Dua,3,"Nababan Anas
18 reviews·10 photos
a year ago


The reception (information) lady who is sitting next to the sliding door is so unfriendly.
She doesn't have any hospitality at all. …More
Like"
KPP Pratama Jakarta Setiabudi Dua,4,"Yuli Kurniawan
2 reviews
3 months ago
Full of support 👍
Like"
KPP Pratama Jakarta Setiabudi Dua,5,"Pria Jenaka
Local Guide·526 reviews·276 photos
4 weeks ago
Lokasi mudah ditemukan sesuai maps... Identitas Jakarta yang menarik , dilobby pintu masuk 😀.... Penataan yang rapih di ruang tunggu, membuat nyaman pengunjung.. Pelayanan ramah all euy.... 👌
Like"
KPP Pratama Jakarta Setiabudi Dua,6,"Aprilani S.
Local Guide·1 review·8 photos
3 months ago



(Translated by Google) Very helped by the service through WA with my AR (mba Ivonne).. although not face to face but the information conveyed is clear and well responded.. I hope that services like this can continue to be improved so that …More
Like"
KPP Pratama Jakarta Setiabudi Dua,7,"soo ya
2 reviews·5 photos
3 months ago



(Translated by Google) The office is clean, the service is friendly and agile... thank you, Ms. Nisa, for helping the smooth filling of the 2022 Annual SPT. Best wishes always. …More
2"
KPP Pratama Jakarta Setiabudi Dua,8,"Eri Widjaja
Local Guide·26 reviews·55 photos
3 months ago







(Translated by Google) The service is very good, I have a problem in filling out my eSPT when I come to the KPP and it turns out that the Hall room is functioned to provide services for taxpayers who are having problems filling out their …More
1"
KPP Pratama Jakarta Setiabudi Dua,9,"Toto Prasetyo
2 reviews·1 photo
3 months ago



(Translated by Google) Very cool for Mas Fa'IQ's cruise. It's been 3 days saying I tried to fill it myself until it was dizzy. Assisted by KPP Setiabudi 2, it only took 10 minutes to finish smoothly. …More
1"
KPP Pratama Jakarta Setiabudi Dua,11,"Teguh Pri10
Local Guide·23 reviews·40 photos
5 months ago



(Translated by Google) Good service, avoid corruption, better for the Indonesian nation in the future …More
Like"
KPP Pratama Jakarta Setiabudi Dua,12,"ardi raharjo
1 review
3 months ago



(Translated by Google) when I was confused about the tax application, the KPP officer was immediately willing to explain clearly and when I had problems with the djp system that we didn't know, our AR was very helpful until we found the …More
1"
KPP Pratama Jakarta Setiabudi Dua,13,"Samson LG
1 review
3 months ago



(Translated by Google) Thank you to Mrs. Dewi who has done her best to help taxpayers in filling out Egiling 1770 to DGT Online successfully. Go forward, Mrs. Dewi and KPP Setiabudi Dua. …More
1"
KPP Pratama Jakarta Setiabudi Dua,14,"Mrs Joedes
1 review
3 months ago



(Translated by Google) The staff is friendly, helpful, the explanation is also clear, not complicated. Overall okay .... Keep it up yaa .... …More
Like"
KPP Pratama Jakarta Setiabudi Dua,15,"guz solah
2 reviews·3 photos
3 months ago



(Translated by Google) Let's support KPP Pratama Jakarta Setiabudi Dua as an office with the title WBBM (Clean Serving Bureaucratic Area)... Strong DGT for Indonesia Forward!!! Bravo...SB2 …More
Like"
KPP Pratama Jakarta Setiabudi Dua,16,"LMW 31
5 reviews·2 photos
3 months ago



(Translated by Google) very helpful, security and employees from the front to the home are all very good and very helpful… super satisfied with the service here   …More
1"
KPP Pratama Jakarta Setiabudi Dua,17,"Sandro Simatupang
1 review·1 photo
3 months ago





(Translated by Google) Cool Mba Gabriela
Serving well and fast …More
Like"
KPP Pratama Jakarta Setiabudi Dua,18,"Agus Darmawan
1 review
3 months ago



(Translated by Google) The office is neat, the employees are friendly and agile, even though I'm from outside the area, I was served very well when filling out my tax return, always successful …More
Like"
KPP Pratama Jakarta Setiabudi Dua,19,"Siti Aisah
Local Guide·87 reviews·70 photos
3 months ago
(Translated by Google) Very satisfy

(Original)
Sangat memuaskan
1"
KPP Pratama Jakarta Setiabudi Dua,20,"Arvan Achmad
2 reviews
3 months ago



(Translated by Google) The service is very good. Very helpful and friendly. Thank you …More
Like"
KPP Pratama Jakarta Setiabudi Dua,22,"Mitha Roma
1 review
3 months ago



(Translated by Google) Very good & responsive service, complete facilities, clean & comfortable office 👍 …More
Like"
