kpp,id,review
KPP Pratama Jakarta Setiabudi Satu,0,"Suryadi Hertanto
Local Guide·2,386 reviews·18,424 photos
4 years ago


The lounge area is quite comfortable, waiting for the slow service queue.
The tax service rule is rather strange, because the taxpayer for the e-billing application and VAT invoice must come by themselves bringing the original KTP and …More
Like"
KPP Pratama Jakarta Setiabudi Satu,1,"Wiwanto
Local Guide·106 reviews·76 photos
3 years ago
The lounge is quite spacious and the queue is normal. Easy to access to building as it near main road. The parking space is also quite spacious
2"
KPP Pratama Jakarta Setiabudi Satu,2,"Laila Meryana
Local Guide·105 reviews·36 photos
4 months ago
Good building, but always closed in the past 30 days for unclear reasons. What's going on there? Am not happy with such service while on the other partnis counting days to get assisted to submit my annual report, as required by law.
1
Response from the owner4 months ago
(Translated by Google) Thank you #KawanPajak for the review. For face-to-face services at KPP Pratama Jakarta Setiabudi Satu, until now they have been shifted to online services in order to prevent the spread of Covid-19. The communication …More"
KPP Pratama Jakarta Setiabudi Satu,3,"L
Local Guide·99 reviews·588 photos
3 years ago
The lounge is quite comfortable but there is 2 helpdesk but only 1 that opened
1"
KPP Pratama Jakarta Setiabudi Satu,4,"Lorenzo Benaglia
Local Guide·28 reviews·10 photos
4 years ago
Every time I need go there to pay tax they never ever work. During normal days they close at 15:00, also if the official timing to close is 16:00. I think depend if the manager is at the office or not. During the last days available to pay …More
3"
KPP Pratama Jakarta Setiabudi Satu,5,"Willy Willy
Local Guide·92 reviews·136 photos
3 years ago
One of the best tax office in Jakarta for their hospitality.
1"
KPP Pratama Jakarta Setiabudi Satu,6,"Ferry
Local Guide·111 reviews·208 photos
5 years ago
Tax collection office, the only place where you are forced to wait in a long line to get nothing and you still have to pay for it.
5 stars for unusual service.
2"
KPP Pratama Jakarta Setiabudi Satu,7,"David Tri Pamungkas
Local Guide·78 reviews·30 photos
5 years ago
Bad place coz loong waiting
Like"
KPP Pratama Jakarta Setiabudi Satu,8,"skogarmaor
Local Guide·22 reviews·13 photos
2 years ago
Helpful and informative staff. Free parking and photocopy (self-service).. 5/5
1
Response from the ownera year ago
(Translated by Google) Thank you

(Original)
terima kasih"
KPP Pratama Jakarta Setiabudi Satu,9,"Epan Antonius Serin
Local Guide·356 reviews·520 photos
5 years ago
KPP SB 2, keep up the good services
Like"
