kpp,id,review
KPP Pratama Jakarta Setiabudi Tiga,0,"Aloysius Kukuh
Local Guide·18 reviews·34 photos
5 years ago
There are 9 counters to serve every tax payer's needs. On this day,I go to jakarta setiabudi 3 tax office to submit my client's annual return
Like"
KPP Pratama Jakarta Setiabudi Tiga,1,"Yudi Wahyudi
6 reviews·1 photo
a year ago
U it further cz yu try
Like"
KPP Pratama Jakarta Setiabudi Tiga,2,"Ananda Ardiansya
1 review
4 months ago







(Translated by Google) The employees and security guards at the KPP are very friendly and alert, especially the security guards who don't want to be given parking fees. Highly uphold professionalism in service. …More
4"
KPP Pratama Jakarta Setiabudi Tiga,3,"Eva Nasution
Local Guide·61 reviews·54 photos
3 months ago



(Translated by Google) KPP Pratama Jakarta Setibudi 3 is very good. The tax service here makes me as a citizen who is obedient to paying taxes always comes to this KPP because it is served very well and professionally.. The room is clean …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,4,"Fandy Abdi Darma
Local Guide·43 reviews
3 months ago











(Translated by Google) The parking lot is quite spacious

Office room is clean, comfortable …More
1"
KPP Pratama Jakarta Setiabudi Tiga,5,"Erwin Hayamz
Local Guide·16 reviews·103 photos
3 months ago



(Translated by Google) The service is satisfactory, all questions regarding information on how to report a personal annual tax return are explained in detail and detail. The helpdesk staff is also friendly. …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,6,"Fahma Dia
6 reviews·26 photos
3 months ago



(Translated by Google) Fast and friendly service. Clean office. I lost my card, the NPWP card reprint was fast. …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,7,"Galuh Enggar P
1 review
3 months ago



(Translated by Google) The service is good, the employees, security guards, and receptionists are friendly, the office is clean and comfortable. Great 👍🏻 …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,8,"yukleren chanel
2 reviews
7 months ago



(Translated by Google) The policy at KPP is very strange. We are a community asking for services. I arrived late in the online queue 25 minutes late. I was rejected. Was told to come again tomorrow even though I had taken the online queue. …More
1"
KPP Pratama Jakarta Setiabudi Tiga,9,"Alyadyta Salsabila Putri
1 review
3 months ago



(Translated by Google) Friendly service, questions can be answered very clearly. No queuing, fast service. Thank you KPP Setiabudi Tiga …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,11,"Daily Sumantri
Local Guide·17 reviews·17 photos
3 months ago





(Translated by Google) this is cool the tax office....the consul is very easy via whatsapp
continue to improve the services of the Jakarta Setiabudi 3 tax office 👍👍👍👍 …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,12,"Aulia Ayudia
Local Guide·184 reviews·50 photos
4 months ago







(Translated by Google) There is a fish pond that contains fat fish, well cared for by CS
Very friendly service …More
2"
KPP Pratama Jakarta Setiabudi Tiga,13,"Goan Crystal
Local Guide·191 reviews·237 photos
3 years ago









(Translated by Google) Very clean and nice office
It's easy to take care of taxes
The staff is friendly …More
2"
KPP Pratama Jakarta Setiabudi Tiga,14,"opiek official
Local Guide·241 reviews·277 photos
3 years ago



(Translated by Google) Nice office. Comfortable and clean. Enough parking to accommodate about 15 cars. Friendly and competent staff. …More
1"
KPP Pratama Jakarta Setiabudi Tiga,15,"Saraswati Nirmala Hartono
2 reviews
3 months ago



(Translated by Google) fast service, friendly staff, cold service room

(Original) …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,16,"Nindiya Dian
6 reviews·15 photos
3 months ago



(Translated by Google) The security guard, service director, and staff are very friendly. …More
Like"
KPP Pratama Jakarta Setiabudi Tiga,17,"Wirajaya Sukarman
1 review
3 months ago



(Translated by Google) The staff is friendly, agile, and the service is good

(Original) …More
Like"
