kpp,id,review
KPP Pratama Jakarta Sunter,0,"eric
Local Guide·1,323 reviews·4,828 photos
4 years ago
Helpful and good service. The restroom beyond expectation. 👍
3"
KPP Pratama Jakarta Sunter,1,"Ferry
Local Guide·111 reviews·208 photos
5 years ago
Tax collection office, the only place where you are forced to wait in a long line to get nothing and you still have to pay for it.
5 stars for unusual service.
6"
KPP Pratama Jakarta Sunter,2,"Veronica Hutabarat
1 review
a week ago
NEW
good public service
Like"
KPP Pratama Jakarta Sunter,3,"zig global service
1 review
a year ago
Best service ever!!! Very helpful...Thankssss so much!
Like"
KPP Pratama Jakarta Sunter,4,"Arif Hamza
Local Guide·387 reviews·2,446 photos
4 years ago
Quick service, courteous staff, very helpful. Thank you.
2"
KPP Pratama Jakarta Sunter,5,"Dan Dellion
1 review
a year ago
Best service ever
Like"
KPP Pratama Jakarta Sunter,6,"Commonsense Guys
Local Guide·40 reviews·316 photos
6 years ago
Very good services
Like"
KPP Pratama Jakarta Sunter,7,"Muzakir
5 reviews
4 years ago
Ok
Like"
KPP Pratama Jakarta Sunter,8,"Mega Samudera
Local Guide·31 reviews·2 photos
5 years ago
Ok
Like"
KPP Pratama Jakarta Sunter,9,"ryuken vino
3 reviews·1 photo
6 years ago
Taxes north jakarta
Like"
KPP Pratama Jakarta Sunter,11,"Ilmy Syaifullah
Local Guide·29 reviews·29 photos
3 years ago
Excellent
Like"
KPP Pratama Jakarta Sunter,12,"Saiful Amri
Local Guide·21 reviews·26 photos
3 years ago
Excellent Service
Like"
KPP Pratama Jakarta Sunter,13,"Hadi Rismansyah
Local Guide·534 reviews·593 photos
5 years ago
good service
Like"
KPP Pratama Jakarta Sunter,14,"Yu Mon G
Local Guide·177 reviews·493 photos
a year ago







(Translated by Google) This is really great ... the service is super fast, it doesn't take long ... so here are the kpp sunter and kpp ivory coconut huh ... klp ivory on the left ... sunter on the right ... …More
2"
KPP Pratama Jakarta Sunter,15,"Heii Nona Miracle
Local Guide·30 reviews·28 photos
2 years ago















(Translated by Google) First time here fitting coincidence lg deserted
When asked security in front of the mo made npwp kel. Papanggo, that's right, he said, and secury nuk jukin the right direction he said …More
1"
KPP Pratama Jakarta Sunter,16,"Senny Sukmawati
3 reviews
4 weeks ago



(Translated by Google) Old service...the staff is having an event...nothing to replace it …More
Like"
KPP Pratama Jakarta Sunter,17,"Pitta Sekar Wangi
Local Guide·171 reviews·126 photos
3 months ago



(Translated by Google) Received an explanation on the Voluntary Disclosure Program and was guided by Pak Catur as AR. Steady! …More
Like"
KPP Pratama Jakarta Sunter,18,"baton safari kukuh
Local Guide·977 reviews·3,440 photos
2 years ago



(Translated by Google) Adjacent to kpp sunter and ivory box. Spacious and clean place and friendly person. Hurry up …More
1"
KPP Pratama Jakarta Sunter,19,"Agatya Dorothea Br Purba
2 reviews
8 months ago



(Translated by Google) Fast service, very helpful, especially Mba who is on duty at the front post of KKP K. Gading's office, I really feel like he has an influence on being the front guard. Thank you, hopefully many blessings from your …More
Like"
KPP Pratama Jakarta Sunter,20,"dewi. is
1 review
8 months ago





(Translated by Google) The service is satisfying, me personally & my husband are very helpful.
To Ms. receptionist & Ms. customer service, once again, thank you very much for …More
1"
KPP Pratama Jakarta Sunter,22,"Robby Hendri
Local Guide·19 reviews·13 photos
a year ago



(Translated by Google) As someone who is unfamiliar with taxes, the Helpdesk Service of KPP Pratama Kelapa Gading is very helpful. A queuing system that can be accessed online, so you don't have to wait long for your turn to be served. And …More
Like"
KPP Pratama Jakarta Sunter,23,"Jung Soo Jong
1 review
11 months ago





(Translated by Google) The call center is very unfriendly, doesn't say hello, thank you or even hang up.
His tone was also very rude and unfriendly, giving the impression of being …More
Like"
KPP Pratama Jakarta Sunter,24,"Meiliana PJM
1 review
a year ago



(Translated by Google) I want to change the info data, the form can be downloaded, but I've tried it on several computers. I can't download it, it means it's not wrong on the computer or the wifi.. please fix the website to make it easier …More
1"
