kpp,id,review
KPP Pratama Jakarta Tanah Abang Dua,0,"Filardi Ardi
Local Guide·75 reviews·102 photos
a year ago
Ok
1
Response from the owner11 months ago
(Translated by Google) Thanks for the star

(Original)
Makasi bintangnya ka"
KPP Pratama Jakarta Tanah Abang Dua,1,"Oktavianus Pujianto
Local Guide·171 reviews·49 photos
4 years ago
The people are friendly and helpful.
Like"
KPP Pratama Jakarta Tanah Abang Dua,2,"Medi Utomo
Local Guide·50 reviews·219 photos
2 years ago
Ok
1
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,3,"Rendy Bambang Junior
1 review
8 years ago
No such place here
Like"
KPP Pratama Jakarta Tanah Abang Dua,4,"Okky Steven
Local Guide·71 reviews·86 photos
a month ago



(Translated by Google) The service is very fast and the staff is very friendly.

(Original) …More
1
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,5,"lintang aji
1 review·1 photo
2 months ago



(Translated by Google) The service is friendly, there is also a steering officer in the lobby who helps us …More
1
Response from the owner2 months ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, greetings, healthy and successful always. Amen *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,6,"Deny Suwignyo
Local Guide·56 reviews·28 photos
2 years ago



(Translated by Google) Wednesday, August 28, 2019, I'm here at 10:30 a.m. I take care of moving npwp at service counter number 3, the officers are young girls wearing glasses, the service is not smiling and rather arrogant, but still I am …More
1"
KPP Pratama Jakarta Tanah Abang Dua,7,"ayu bedtrik
Local Guide·129 reviews·745 photos
3 years ago





(Translated by Google) For services such as reporting well, directed by MBA students and mas, there are photobooths and competitions to attract millennial and instagramable taxpayers, maybe the advice is given a plot map, the space and …More
4"
KPP Pratama Jakarta Tanah Abang Dua,8,"Nanda Shelvira Adiningtyas
9 reviews·1 photo
2 years ago



(Translated by Google) the service was good, I came late 04.05 (the queue machine was absent already), then kindly asked the mas2 what to do. and thank God they want to accept the document to the AR when it was more than 4 hours. …More
Like
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,9,"intelligent expert
1 review
3 years ago



(Translated by Google) The officer at KPP is very difficult to answer telphone from WP. Telphone repeatedly does not answer. Once answered, asked what the need was, checked, then disconnected. There is already a note on the receipt form to …More
Like"
KPP Pratama Jakarta Tanah Abang Dua,11,"Dede Efendi
2 reviews·2 photos
a year ago



(Translated by Google) I have made an online NPWP, if I want to print the card, how about the process, please help 🙏🙏🙏 …More
Like
Response from the owner11 months ago
(Translated by Google) The NPWP card that you made online will be sent via post by the KPP where you are registered, if you have not received the card, please confirm to the KPP where you are registered …More"
KPP Pratama Jakarta Tanah Abang Dua,12,"Heni Rachmat
1 review
5 years ago



(Translated by Google) I lost contact with Mr. Ali Wijaya, please confirm, thank you from Heni CV. Makmur Mutiara Sejahtera …More
2"
KPP Pratama Jakarta Tanah Abang Dua,13,"Gian Nopriyandri
1 review
2 years ago



(Translated by Google) Want to ask, when is it reopening for the npwp manufacturing service? Thank you …More
Like
Response from the owner11 months ago
(Translated by Google) As long as our offline service PPKM can't operate yet..please register via ereg.pajak.go.id sir for online services …More"
KPP Pratama Jakarta Tanah Abang Dua,14,"Riffatmulyanaraziq
2 reviews
4 years ago



(Translated by Google) The services provided are very helpful. Keep up the good work 👍😊 …More
Like"
KPP Pratama Jakarta Tanah Abang Dua,15,"Evan rizki reinaldy
Local Guide·599 reviews·1,958 photos
4 years ago



(Translated by Google) Fairly good service has increased from the previous year

(Original) …More
1"
KPP Pratama Jakarta Tanah Abang Dua,16,"Paulus Paul
5 reviews
3 years ago



(Translated by Google) Want to ask ,, can you make a NPWP with a regional ID?

(Original) …More
3"
KPP Pratama Jakarta Tanah Abang Dua,17,"riza amanda
Local Guide·20 reviews·14 photos
3 years ago



(Translated by Google) The place is comfortable, the service is satisfying :)

(Original) …More
2"
KPP Pratama Jakarta Tanah Abang Dua,18,"Deja Vu
Local Guide·1,694 reviews·37,383 photos
5 years ago
(Translated by Google) The service is convenient ...

(Original)
Tempat layanannya nyaman...
3"
KPP Pratama Jakarta Tanah Abang Dua,19,"bumdes ciptakaryasejahtera
1 review·1 photo
5 years ago
(Translated by Google) Good service

(Original)
Pelayanan baik
1"
KPP Pratama Jakarta Tanah Abang Dua,20,"edward sioewardi
Local Guide·306 reviews·764 photos
5 years ago
(Translated by Google) Helpful enough

(Original)
Cukup membantu
Like"
KPP Pratama Jakarta Tanah Abang Dua,22,"Mstriana Uut
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,23,"Sandi Sundara
2 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,24,"yustinus erwin
Local Guide·44 reviews·38 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,25,"ipop sandraeni
5 years ago"
KPP Pratama Jakarta Tanah Abang Dua,26,"andy laksana
Local Guide·3 reviews·904 photos
2 years ago
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,27,"Hendri Prasetyo
5 reviews
5 years ago"
KPP Pratama Jakarta Tanah Abang Dua,28,"Edison Napitupulu
5 years ago"
KPP Pratama Jakarta Tanah Abang Dua,29,"Gunung S Anom H
Local Guide·15 reviews·52 photos
2 years ago
Response from the owner11 months ago
(Translated by Google) Thanks for the star

(Original)
Makasi ka bintangnya"
KPP Pratama Jakarta Tanah Abang Dua,30,"Fahmy Hajry
2 reviews·1 photo
2 years ago
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,31,"Indonesia Bangkit
3 reviews·11 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,33,"Naeni Amriyati
Local Guide·52 reviews·217 photos
a year ago
Response from the ownera month ago
(Translated by Google) Thank you for coming and carrying out your tax obligations, sis *KMA …More"
KPP Pratama Jakarta Tanah Abang Dua,34,"Nurul Hidayati
Local Guide·13 reviews·24 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,35,"Riesta Emy Susanti
Local Guide·19 reviews·141 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,36,"Ricardo Kawulusan
1 review
5 years ago"
KPP Pratama Jakarta Tanah Abang Dua,37,"PAULTMT TMT
4 years ago"
KPP Pratama Jakarta Tanah Abang Dua,38,"auranissa elfari Roni putri
Local Guide·28 reviews·48 photos
3 years ago"
KPP Pratama Jakarta Tanah Abang Dua,39,"Unhee June
Local Guide·85 reviews·218 photos
a year ago
Response from the owner11 months ago
(Translated by Google) Thank you Yuni for the star

(Original)
Makasi ka Yuni bintangnya"
KPP Pratama Jakarta Tanah Abang Dua,40,"alfonso fernando Hutapea
3 reviews
6 years ago"
KPP Pratama Jakarta Tanah Abang Dua,41,"Dwi Pamungkas
Local Guide·76 reviews·148 photos
4 years ago"
KPP Pratama Jakarta Tanah Abang Dua,42,"Abdii Bae
1 review·1 photo
5 years ago"
