kpp,id,review
KPP Pratama Jakarta Tanah Abang Satu,0,"Bayu eMBee
3 reviews·9 photos
2 years ago
The tax officers are very nice
Like
Response from the owner2 years ago
Thanks kak :)"
KPP Pratama Jakarta Tanah Abang Satu,1,"Ilham Priananda
Local Guide·238 reviews·2,326 photos
3 years ago
Nice one
Like"
KPP Pratama Jakarta Tanah Abang Satu,2,"yanuar alamsah
6 reviews·4 photos
8 years ago
Memebantu
Like"
KPP Pratama Jakarta Tanah Abang Satu,3,"Viester Dolles
Local Guide·4,657 reviews·766 photos
5 years ago
Good
2"
KPP Pratama Jakarta Tanah Abang Satu,4,"Shabrina Huda
2 reviews·7 photos
3 weeks ago
NEW







(Translated by Google) Alhamdulillah very good service
TPT Friendly and beautiful
Very helpful service …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,5,"la_ Riri
1 review
3 weeks ago
NEW



(Translated by Google) The Helpdesk is very helpful, the officers are also friendly …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,6,"Bima Keren
1 review
11 months ago





(Translated by Google) Good close to parents' house
I want to ask you, I have reported using online djp but why am I still being called that I haven't reported my tax yet, I still have the proof of electronic …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,7,"Muhammad Yunus
Local Guide·161 reviews·556 photos
4 years ago



(Translated by Google) Good service but the elevator is scary coy

(Original) …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,8,"rahiem abdul (A-im)
Local Guide·11 reviews·39 photos
2 years ago



(Translated by Google) The place is very cool ... Quiet, comfortable and friendly service. …More
1"
KPP Pratama Jakarta Tanah Abang Satu,9,"Evan Wahyudi
10 reviews·2 photos
3 years ago



(Translated by Google) Preparation of regional eKtP NPWP was rejected, even though there was a letter of domicile in the local village. even though other cabnag KPPs can ... the receptionists are also good ... please fix ... thank you. …More
Like
Response from the owner3 years ago
(Translated by Google) KPP Pratama Jakarta Tanah Abang Satu only accepts Domicile ID cards in Karet Tengsin Sub-District. Thank you for the criticism and suggestions :) …More"
KPP Pratama Jakarta Tanah Abang Satu,11,"Denita S Khadijah
Local Guide·151 reviews·69 photos
a year ago



(Translated by Google) Print the NPWP and EFIN registration can be done at any KPP, not necessarily at the registered KPP …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,12,"Gabriela Lengkong
Local Guide·140 reviews·107 photos
4 years ago











(Translated by Google) The place is comfortable and clean. Regular queues. Can ask anything if not clear. …More
1"
KPP Pratama Jakarta Tanah Abang Satu,13,"Dimas
Local Guide·71 reviews·47 photos
4 years ago



(Translated by Google) the service is pretty good right for efin yesterday, just don't know why only two people serve. maybe because of noon …More
Like"
KPP Pratama Jakarta Tanah Abang Satu,14,"Retno Retno
Local Guide·15 reviews·8 photos
4 years ago



(Translated by Google) The place is nice, big, the service is friendly, it is made easy to take care of efin, and how to fill in tax reports is assisted by the officers …More
Like"
