kpp,id,review
KPP Pratama Jakarta Tanah Abang Tiga,0,"Nduk Sulis
505 reviews
5 years ago
ok
1
Response from the owner2 years ago
(Translated by Google) Thank you for coming and carrying out its tax obligations at the Jakarta Tanah Abang Tiga KPP. For further information please contact your Account Representative or telephone the office at 021-31925571, WhatsApp 08966 …More"
KPP Pratama Jakarta Tanah Abang Tiga,1,"Henry Mixson
Local Guide·94 reviews·6 photos
5 years ago
Fast service
1
Response from the owner2 years ago
(Translated by Google) Thank you for coming and carrying out its tax obligations at the Jakarta Tanah Abang Tiga KPP. For further information please contact your Account Representative or telephone the office at 021-31925571, WhatsApp 08966 …More"
KPP Pratama Jakarta Tanah Abang Tiga,2,"Desi Oktavianika
Local Guide·129 reviews·1,487 photos
5 months ago



(Translated by Google) Fast service, friendly staff and ample parking.

(Original) …More
Like
Response from the owner5 months ago
(Translated by Google) Thank you for carrying out your tax obligations at KPP Pratama Jakarta Tanah Abang Tiga. Always healthy and successful *KMA …More"
KPP Pratama Jakarta Tanah Abang Tiga,3,"anita rahayu
4 reviews
3 months ago



(Translated by Google) I'm not the type of person who likes to give bad reviews but in my opinion the service at the TPT counter is very bad. The officer's face was stern when asked, he didn't answer, he just nodded. Fortunately, the …More
Like
Response from the owner3 months ago
(Translated by Google) Sorry for the inconvenience, sis and thank you for your input and suggestions to be a correction and improvement for us. …More"
KPP Pratama Jakarta Tanah Abang Tiga,4,"Riyan Nuryaman
6 reviews·1 photo
3 months ago





(Translated by Google) Staff : Good Service
Especially mba Putri : Excellent staff …More
1
Response from the owner3 months ago
(Translated by Google) Thank you for the review sis.

Thank you also for coming and carrying out your tax obligations. …More"
KPP Pratama Jakarta Tanah Abang Tiga,5,"Ami Syifa'
6 reviews
3 months ago



(Translated by Google) Salute to the ladies at TPT.. all try to be friendly and always smile in serving.. top deh.. …More
Like
Response from the owner3 months ago
(Translated by Google) Thank you for the review sis. Hopefully in the future we can be even better ^KMA …More"
KPP Pratama Jakarta Tanah Abang Tiga,6,"RICKY RAIHAN
Local Guide·340 reviews·2,374 photos
3 years ago



(Translated by Google) The place is nice. Wide. There is a library in the waiting room …More
Like
Response from the owner3 years ago
(Translated by Google) Thank you for coming and carrying out your tax obligations at KPP Pratama Tanah Abang Tiga. For more information, please contact 021-31925527 …More"
KPP Pratama Jakarta Tanah Abang Tiga,7,"Aveline Agrippina Tando
Local Guide·152 reviews·150 photos
6 years ago



(Translated by Google) Typical tax service offices in general in Indonesia are full of people, especially in March. However, convenience is increasingly felt in this tax office because the tax office is quite large and luxurious. The …More
2
Response from the owner2 years ago
(Translated by Google) Thank you for coming and carrying out its tax obligations at the Jakarta Tanah Abang Tiga KPP. For further information please contact your Account Representative or telephone the office at 021-31925571, WhatsApp 08966 …More"
KPP Pratama Jakarta Tanah Abang Tiga,8,"Tatang Arisandi
Local Guide·712 reviews·410 photos
2 years ago



(Translated by Google) Tanah Abang area Tax Service Office, Central Jakarta

(Original) …More
Like
Response from the owner2 years ago
(Translated by Google) Thank you for coming and carrying out its tax obligations at the Jakarta Tanah Abang Tiga KPP. For further information, you can contact the Account Representative, or call the Office at 021-31925571 or can leave a …More"
KPP Pratama Jakarta Tanah Abang Tiga,9,"Rahayu_ 1977
Local Guide·201 reviews·289 photos
2 years ago



(Translated by Google) On the 1st floor now the table position, cool service. Every two years, I come here. The officers are friendly, young & energetic .. …More
1
Response from the owner2 years ago
(Translated by Google) Thank you, Ms. Tiara for coming and carrying out her tax obligations at KPP Pratama Pratama Jakarta Tanah Abang Tiga. …More"
KPP Pratama Jakarta Tanah Abang Tiga,11,"Ari Saripudin (Arri)
Local Guide·47 reviews·20 photos
a year ago



(Translated by Google) The place is comfortable, satisfying service on the highway & canteen train station is also available …More
Like
Response from the ownera year ago
(Translated by Google) Thank you for coming and carrying out your tax obligations at KPP Pratama Jakarta Tanah Abang Tiga. …More"
