kpp,id,review
KPP Pratama Jakarta Tanjung Priok,0,"Ahsan Ali Shah Saifi
Local Guide·24 reviews·43 photos
2 days ago
NEW
Cooperative staff , clean environment just mosquitoes in sitting area. Need mosquito spray
Like"
KPP Pratama Jakarta Tanjung Priok,1,"Nugroho setiawan
Local Guide·5 reviews·17 photos
3 months ago
Ok
Like"
KPP Pratama Jakarta Tanjung Priok,2,"Yogi Arjun Rizaldi
2 reviews
5 years ago
Will going to go tax office today
Like"
KPP Pratama Jakarta Tanjung Priok,3,"Fahreza Eka Purwandani
Local Guide·56 reviews·8 photos
3 years ago
Good service
Like"
KPP Pratama Jakarta Tanjung Priok,4,"Amt InDoloren
Local Guide·10 reviews·47 photos
3 years ago
Good
1"
KPP Pratama Jakarta Tanjung Priok,5,"Deviera Puspita
1 review
a month ago
enak ya skrg mau bikin billing tinggal wa gausah datang, perpanjang sertifikat elektronik jg tinggal ajukan di enofa trs telfon minta approve. praktis dan memudahkan
Like"
KPP Pratama Jakarta Tanjung Priok,6,"farisha
9 reviews
a month ago



(Translated by Google) the office is near the terminal but it turns out that when you enter it's not that bad, it's nice, bright, the desk is new, the staff is very helpful, really amazing wow top …More
3"
KPP Pratama Jakarta Tanjung Priok,7,"Jodi Setyawan Kirasaputra
3 reviews
a month ago



(Translated by Google) Good service, the security guard is friendly, only for those who don't know, you have to use an online queue number …More
Like"
KPP Pratama Jakarta Tanjung Priok,8,"Fernando Munandar
1 review
3 months ago



(Translated by Google) Just close the office, I've been fighting for leave and taking care of my tax return, but it's even more difficult. Meanwhile, my NPWP card has been physically more than 5 months after the registration has never been …More
2"
KPP Pratama Jakarta Tanjung Priok,9,"Fachru Rozi Dwi Putra
Local Guide·27 reviews·60 photos
a month ago
Bagus, pelayanannya ramah, senyum sapa salam sopan santun juga, terimakasih DJP Priok🙏
Like"
KPP Pratama Jakarta Tanjung Priok,11,"Laela Lutfiatun Sholekhah
2 reviews
a month ago
Pelayanan baik, Penyelesaian permohonan tepat waktu, mantap lanjutkan
1"
KPP Pratama Jakarta Tanjung Priok,12,"Daryo Daryo
1 review·1 photo
4 months ago



(Translated by Google) I have reported my personal KNOWLEDGE SPT in 2021, sir/madam, but why do I get a notification on gmail asking me to report my Annual SPT? …More
1"
KPP Pratama Jakarta Tanjung Priok,13,"MAULANA SYAPUTRA
5 reviews·31 photos
a month ago



(Translated by Google) WORST KPP SERVICE IN JAKARTA ASKING HELP JAKUT REGIONAL OFFICE SURVEY TANJUNG PRIOK KPP BECAUSE TAXPAYER TROUBLESHOOTING …More
2"
KPP Pratama Jakarta Tanjung Priok,14,"Eko Julianto handoko
1 review
3 months ago



(Translated by Google) yes, kpp tanjung priok is slow, the phone can't "", not friendly. disappointed with this sm kpp …More
1"
KPP Pratama Jakarta Tanjung Priok,15,"KAMIDUT TV
8 reviews·7 photos
2 weeks ago
NEW





(Translated by Google) WORST SERVICE IN KPP.....
ONLINE IS HARD, COMING WITH NO PARKING.... …More
Like"
KPP Pratama Jakarta Tanjung Priok,16,"Hambali Kiting
9 reviews
3 months ago



(Translated by Google) Bad service, no response from anywhere, for PKP submissions and the results are very long to receive …More
1"
KPP Pratama Jakarta Tanjung Priok,17,"Jihan Ghiffari
2 reviews·1 photo
a month ago
Kantor Pelayanan Pajak Pratama melayani semua pelayanan pajak pusat, untuk pajak daerah dilayani oleh pemerintah daerah
1"
KPP Pratama Jakarta Tanjung Priok,18,"Randy Saputra
6 reviews·2 photos
2 months ago



(Translated by Google) KPP Worst in terms of service. it's been a long time, mostly old people …More
2"
KPP Pratama Jakarta Tanjung Priok,19,"Dita Asri Hastuti
2 reviews
a month ago
pelayanan sangat buruk. kecewa saya.
1"
KPP Pratama Jakarta Tanjung Priok,20,"Fatjri Gunadi
Local Guide·25 reviews·5 photos
a month ago



(Translated by Google) Friendly and communicative service. continue

(Original) …More
Like"
KPP Pratama Jakarta Tanjung Priok,22,"ALZYEAS
Local Guide·24 reviews·91 photos
3 months ago



(Translated by Google) Now have to make no queue online dl

(Original) …More
3"
KPP Pratama Jakarta Tanjung Priok,23,"Rusdi Ansyah
Local Guide·252 reviews·389 photos
10 months ago



(Translated by Google) Thank you for the service, you have to be emotional, sir. …More
3"
KPP Pratama Jakarta Tanjung Priok,24,"Marikut Silaban
4 reviews·3 photos
a year ago









(Translated by Google) Service is slow
I only take care of changing data (change of address) for 2 weeks it hasn't been completed. …More
4"
KPP Pratama Jakarta Tanjung Priok,25,"Alma Safitri
3 reviews
a year ago



(Translated by Google) This is the first time with me, I want to file a tax report, uh, the first impression from one of the employees (mother "") is not really good to use saying from another Kpp how come here, oh my name, I also don't …More
4"
KPP Pratama Jakarta Tanjung Priok,26,"Handy Dwi Septiyanto
2 reviews
a month ago



(Translated by Google) Alhamdulillah, my business is running smoothly here

(Original) …More
Like"
KPP Pratama Jakarta Tanjung Priok,27,"paskalia stephanie
1 review
10 months ago





(Translated by Google) Thanks for everything.
From the security guard + AR + the counter officer. Very helpfull...blessings and always healthy everyone. …More
1"
KPP Pratama Jakarta Tanjung Priok,28,"King Dango
1 review
a month ago
(Translated by Google) Friendly service

(Original)
Pelayanannya ramah
Like"
KPP Pratama Jakarta Tanjung Priok,29,"SOFRIUS MENDOFA
4 reviews·1 photo
2 years ago







(Translated by Google) Some time ago, I wanted to take care of the NPWP according to the address on the KTP namely North Jakarta with the KPP of Tanjung Priok, I have completed the file and all the requirements procedures until I …More
4"
KPP Pratama Jakarta Tanjung Priok,30,"Dark Dango
1 review
a month ago
Pelayanannya mantap
Like"
KPP Pratama Jakarta Tanjung Priok,31,"Divas Abdul Ma'arif
1 review
a month ago
(Translated by Google) the service is okay

(Original)
pelayanannya oke
1"
