kpp,id,review
KPP Pratama Jakarta Tebet,0,"Aki Baihaki
Local Guide·150 reviews·117 photos
3 months ago
I've changed address and consequently tax payment is also moved to this office. Originally I thought they were being difficult but wow, they helped me throughout the process and willing to accommodate my situation with virtual meetings and …More
1"
KPP Pratama Jakarta Tebet,1,"Boneng Kiyosaki
Local Guide·165 reviews·672 photos
3 years ago
This is government agency who handling taxes sectors. The service is good while you can meet the security with a smile in the front doors. The receptionist also make a good serve and give some help while people looks confuse. But this place …More
Like"
KPP Pratama Jakarta Tebet,2,"Andini Pratiwi
Local Guide·880 reviews·6,190 photos
3 months ago
You better check online first
Like"
KPP Pratama Jakarta Tebet,3,"Ahmad Syaltut
10 reviews·7 photos
5 years ago
(For EFIN issuance): helpful and professional staffs. Prepare to bring photocopied of your ID (KTP) and NPWP. Otherwise you'll have to photocopy them in the ""koperasi"" with more expensive rate.
2"
KPP Pratama Jakarta Tebet,4,"opiek official
Local Guide·241 reviews·277 photos
7 years ago
good goverment office. nice lobby with excellent service
2"
KPP Pratama Jakarta Tebet,5,"raden R
Local Guide·1,014 reviews·8,218 photos
3 years ago
Fast respone... good job
Like"
KPP Pratama Jakarta Tebet,6,"ignatius tri Agung
4 reviews
3 years ago
friendly and helpfull
Like"
KPP Pratama Jakarta Tebet,7,"Franky Soit
Local Guide·1,413 reviews·784 photos
5 years ago
Tax office
Like"
KPP Pratama Jakarta Tebet,8,"Muhamad Solichin
2 reviews·1 photo
2 weeks ago
NEW



(Translated by Google) The service really helped me in dealing with taxes, the officers were friendly and very helpful. Thank you KPP TEBET. GOOD JOBB. …More
Like"
KPP Pratama Jakarta Tebet,9,"Hanum Ayuningtyas
9 reviews·1 photo
3 months ago



(Translated by Google) The SPT service here is really the best... The staff is patient, giving directions for such reports... Friendly, patient... The service is really fast... …More
1"
KPP Pratama Jakarta Tebet,11,"Andriyati Irmala
1 review
3 months ago



(Translated by Google) the service is fast, reactivate the npwp whose status is NE, before the consul was via WA and the response was very fast, asking for any documents to always be sent via wa too, thank you kpp tebet, hopefully in the …More
3"
KPP Pratama Jakarta Tebet,12,"fary siew
2 reviews
5 months ago



(Translated by Google) As a government agency, I think it's very bad, compared to other KPPs, the TPT is old, the helpdesk is not regulated, the security guard is not friendly and the number cannot be contacted. …More
4"
KPP Pratama Jakarta Tebet,13,"Nita Kolopaking
2 reviews
4 months ago







(Translated by Google) I am very satisfied with the excellent service from KPP Tebet in guiding & helping explain to the public how to fill out the annual SPT. Especially for officers. Mrs. Puji who has helped me a lot who is Gaptek in …More
3"
KPP Pratama Jakarta Tebet,14,"lenny endryani
2 reviews
3 months ago



(Translated by Google) for the slot queue, the quota is always exhausted, this time it's annoying and not optimal for those of us who don't obey taxes.... return the service as usual, no need to go through the online queue web.... …More
Like"
KPP Pratama Jakarta Tebet,15,"Lord Koplax
Local Guide·25 reviews·14 photos
4 months ago



(Translated by Google) The queue is 0 to 3 days ahead... even though I only want to activate my npwp. The work is light but the bureaucracy is at the level of a god... it has to be viral before the people's complaints are heard... we just …More
Like"
KPP Pratama Jakarta Tebet,16,"Puspa Sari Putri Utami
2 reviews·1 photo
2 months ago



(Translated by Google) Extraordinary and the best service for kpp tebet and its staff, the process is fast and easy, i'm not wrong for choosing kpp tebet to serve all types of taxation of our company 👍👍👍👍 …More
Like"
KPP Pratama Jakarta Tebet,17,"Ve Irawan
5 reviews
3 months ago



(Translated by Google) The service is good, the contents of the tax return here are really helpful.. The staff is friendly and very helpful... Thank you KPP Pratama Tebet.. Keep on maximizing the service, okay.. …More
1"
KPP Pratama Jakarta Tebet,18,"Shofian N.
1 review
3 months ago



(Translated by Google) KPP Tebet tax officers are friendly and very helpful in solving tax problems. Success is always the Directorate of Taxes, Amen... …More
1"
KPP Pratama Jakarta Tebet,19,"Sayyidah Nurhikmah
Local Guide·196 reviews·560 photos
4 years ago









(Translated by Google) Report the Annual Tax Return and how long Naudzubillah is waiting ... well ... I'm sick ...
The queue is so long it's really long ... …More
3"
KPP Pratama Jakarta Tebet,20,"Ergat Sudrajat
2 reviews·2 photos
3 months ago



(Translated by Google) The best, fast service and a comfortable waiting room and the friendly lady, thank you, madam, for the blessing 👍 …More
1"
KPP Pratama Jakarta Tebet,22,"irma yanti
4 reviews
3 months ago



(Translated by Google) The service for making tax reporting is very fast and assisted by good directions, especially with the officers, Mas Ipin. …More
Like"
KPP Pratama Jakarta Tebet,23,"Ibnu Sayid Syah Alam
1 review
2 months ago



(Translated by Google) Thank you to the Tebet KPP Pratama office for allowing us street vendors to this day 🙏 …More
Like"
KPP Pratama Jakarta Tebet,24,"Bayu Putra
1 review
2 months ago



(Translated by Google) I AM VERY HAPPY PKL AT KPP TEBET, VERY GOOD GOOD ALL THE BEST!!!!, THANK YOU :3 …More
Like"
KPP Pratama Jakarta Tebet,25,"Pemancingan Manunggal
2 reviews
7 months ago



(Translated by Google) The staff at the front door to the left of Ms. Madam are not friendly at all. Not helpful. I came a long way from out of town to take care of changing my NPWP address, there was a problem when registering the queue on …More
6"
KPP Pratama Jakarta Tebet,26,"Novita Nov
1 review
3 months ago



(Translated by Google) The annual SPT report here is very orderly and assisted by KPP officers who are very agile and friendly. Thank you very much. …More
2"
KPP Pratama Jakarta Tebet,27,"Penebar Musik
Local Guide·177 reviews·2,333 photos
2 years ago



(Translated by Google) This is the place to collect our tax return form in Tebet area very near Jalan Sahardjo. It is wide enough and still comfort. SPT collection place and other tax forms ... the room is wide and so ... in the month of …More
1"
KPP Pratama Jakarta Tebet,28,"Djar Wan
1 review
3 months ago



(Translated by Google) The performance of the kpp tebet is great, very patient in guiding the customers including me, always successful, thank you very much. …More
1"
KPP Pratama Jakarta Tebet,29,"Claudia Hashico
4 reviews
3 months ago



(Translated by Google) The service is good, satisfying, just arrived, you don't have to wait in line, it's handled right away …More
1"
KPP Pratama Jakarta Tebet,30,"dani dani.gusman@yahoo.co.id
1 review
3 months ago







(Translated by Google) The service is very good and easy..
The staff is also very friendly
don't hesitate to come there …More
1"
KPP Pratama Jakarta Tebet,31,"Gatot LMH
3 reviews
3 months ago



(Translated by Google) Good service, clear and fast, complete. The important thing is don't forget to fill in the tax visit application. …More
Like"
KPP Pratama Jakarta Tebet,33,"Mochammad Eric
1 review
2 months ago



(Translated by Google) I do street vendors is very fun. And the atmosphere in this office is very good and peaceful. …More
Like"
KPP Pratama Jakarta Tebet,34,"Dede ihsan Ali
1 review
2 months ago



(Translated by Google) The place is really good, the service, the people are very friendly. …More
Like"
KPP Pratama Jakarta Tebet,35,"Andhika Ageng W.K
1 review
7 months ago



(Translated by Google) already operating hours but on the phone no one picks up. Where are you during working hours? This is what makes ASN a bad name in the eyes of the wider community. Big salary from the people but relaxed work like …More
3"
KPP Pratama Jakarta Tebet,36,"Hidayat Ishak
1 review
3 months ago



(Translated by Google) The service is satisfying and the guards are beautiful and Rahma (especially Ms. Fuji is good) …More
1"
KPP Pratama Jakarta Tebet,37,"Bach Tiar
5 reviews·4 photos
4 months ago



(Translated by Google) For tax services at KPP Tebet need to be followed, friendly, kind, steady …More
3"
KPP Pratama Jakarta Tebet,38,"tri gilang
2 reviews·1 photo
3 months ago



(Translated by Google) Please re-evaluate the security is bad, people like that are suitable for guarding the market …More
Like"
KPP Pratama Jakarta Tebet,39,"Eulis Riani
1 review
3 months ago



(Translated by Google) Thank you KPP Tebet for the service in our reporting ... which was fast and responsive to success for KPP Tebet …More
1"
KPP Pratama Jakarta Tebet,40,"Nani Andayani
1 review
3 months ago



(Translated by Google) Thank you KPP Tebet for serving us well, fast and friendly Barvo for KPP Tebet …More
1"
KPP Pratama Jakarta Tebet,41,"nia firliyanny
2 reviews
3 months ago



(Translated by Google) Great, year-end souvenirs, how come there aren't any more? …More
Like"
KPP Pratama Jakarta Tebet,42,"Zul Helmi
1 review
3 months ago



(Translated by Google) The service is very good and satisfying for me

(Original) …More
1"
KPP Pratama Jakarta Tebet,44,"Titiek Sumiastuti
1 review
3 months ago



(Translated by Google) Good service, helped by good people

(Original) …More
Like"
KPP Pratama Jakarta Tebet,45,"M. Hadi Massyahid
1 review
2 months ago



(Translated by Google) very very happy and get a lot of lessons that can be taken …More
Like"
KPP Pratama Jakarta Tebet,46,"Leonardo Dito
4 reviews
3 months ago



(Translated by Google) Very friendly and very helpful public report service

(Original) …More
1"
KPP Pratama Jakarta Tebet,47,"Rahil Pratama
1 review
3 months ago



(Translated by Google) The service is good, the best

(Original) …More
1"
KPP Pratama Jakarta Tebet,48,"Rizky Akbar
1 review
2 months ago



(Translated by Google) friendly and reliable service, the best

(Original) …More
Like"
KPP Pratama Jakarta Tebet,49,"jimmy jack kapojos
2 reviews
a year ago



(Translated by Google) Today I went to KPP Tebet, they said there was no service. So what are those who have taken the online queue number for what? …More
5"
KPP Pratama Jakarta Tebet,50,"yoel christian
2 reviews
3 months ago



(Translated by Google) very good, all officers on the initiative to help

(Original) …More
1"
KPP Pratama Jakarta Tebet,51,"Irfan Alfaki
3 reviews·3 photos
2 months ago



(Translated by Google) May you always be blessed and successful Amen

(Original) …More
Like"
KPP Pratama Jakarta Tebet,52,"Linda Jogja
1 review
3 months ago



(Translated by Google) Thank you to the staff for the friendly service

(Original) …More
2"
KPP Pratama Jakarta Tebet,53,"Nurkholis Rafsanjani
4 reviews
3 months ago



(Translated by Google) the employees are friendly and smiley

(Original) …More
1"
KPP Pratama Jakarta Tebet,55,"Ranny Ridwan
1 review
3 months ago
(Translated by Google) Good service, friendly

(Original)
Bagus pelayanan nya,,ramah
2"
KPP Pratama Jakarta Tebet,56,"Siti Zulaeha
1 review
3 months ago



(Translated by Google) This service is very friendly and satisfying

(Original) …More
1"
